Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";4
"350115 ALUMINIO";2
"350150 ALVINLANDIA";2
"350200 ANALANDIA";1
"350210 ANDRADINA";4
"350220 ANGATUBA";5
"350270 APIAI";6
"350275 ARACARIGUAMA";3
"350300 ARAMINA";1
"350310 ARANDU";1
"350315 ARAPEI";1
"350320 ARARAQUARA";9
"350330 ARARAS";8
"350390 ARUJA";11
"350410 ATIBAIA";26
"350450 AVARE";2
"350460 BADY BASSITT";7
"350530 BARRA BONITA";5
"350535 BARRA DO CHAPEU";1
"350550 BARRETOS";15
"350560 BARRINHA";4
"350570 BARUERI";5
"350580 BASTOS";4
"350590 BATATAIS";12
"350600 BAURU";22
"350610 BEBEDOURO";10
"350630 BERNARDINO DE CAMPOS";122
"350635 BERTIOGA";6
"350640 BILAC";4
"350650 BIRIGUI";37
"350700 BOITUVA";3
"350740 BORBOREMA";4
"350760 BRAGANCA PAULISTA";30
"350780 BRODOWSKI";1
"350810 BURITAMA";9
"350820 BURITIZAL";2
"350840 CABREUVA";4
"350850 CACAPAVA";9
"350860 CACHOEIRA PAULISTA";5
"350870 CACONDE";1
"350900 CAIEIRAS";21
"350925 CAJATI";7
"350970 CAMPOS DO JORDAO";4
"351040 CAPIVARI";7
"351070 CARDOSO";7
"351130 CEDRAL";1
"351140 CERQUEIRA CESAR";18
"351220 CONCHAL";5
"351250 COROADOS";1
"351270 CORUMBATAI";2
"351290 COSMORAMA";4
"351340 CRUZEIRO";11
"351350 CUBATAO";10
"351390 DIVINOLANDIA";2
"351450 DUARTINA";10
"351470 ECHAPORA";2
"351495 EMBAUBA";4
"351518 ESPIRITO SANTO DO PINHAL";12
"351550 FERNANDOPOLIS";2
"351565 FERNAO";1
"351570 FERRAZ DE VASCONCELOS";25
"351640 FRANCO DA ROCHA";1
"351660 GALIA";2
"351680 GASTAO VIDIGAL";1
"351720 GUAICARA";1
"351750 GUAPIACU";1
"351820 GUARARAPES";2
"351870 GUARUJA";75
"351880 GUARULHOS";101
"351900 HERCULANDIA";1
"351930 IBATE";5
"351940 IBIRA";21
"351960 IBITINGA";26
"352000 IGARACU DO TIETE";5
"352010 IGARAPAVA";3
"352042 ILHA COMPRIDA";1
"352130 IPUA";7
"352140 IRACEMAPOLIS";2
"352215 ITAOCA";1
"352220 ITAPECERICA DA SERRA";15
"352250 ITAPEVI";30
"352260 ITAPIRA";21
"352310 ITAQUAQUECETUBA";115
"352340 ITATIBA";66
"352360 ITIRAPINA";9
"352380 ITOBI";5
"352410 ITUVERAVA";7
"352440 JACAREI";95
"352460 JACUPIRANGA";4
"352480 JALES";4
"352500 JANDIRA";8
"352530 JAU";40
"352570 JOSE BONIFACIO";11
"352620 JUQUITIBA";2
"352650 LAVINIA";2
"352670 LEME";4
"352690 LIMEIRA";2
"352710 LINS";7
"352720 LORENA";2
"352730 LOUVEIRA";3
"352740 LUCELIA";1
"352800 MACATUBA";11
"352840 MAIRINQUE";11
"352860 MANDURI";1
"352890 MARIAPOLIS";2
"352900 MARILIA";22
"352930 MATAO";6
