Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";6
"350020 ADOLFO";1
"350070 AGUDOS";1
"350115 ALUMINIO";6
"350200 ANALANDIA";1
"350210 ANDRADINA";9
"350220 ANGATUBA";7
"350270 APIAI";2
"350275 ARACARIGUAMA";4
"350300 ARAMINA";2
"350310 ARANDU";1
"350320 ARARAQUARA";5
"350330 ARARAS";42
"350350 AREIAS";7
"350360 AREIOPOLIS";1
"350390 ARUJA";5
"350410 ATIBAIA";17
"350530 BARRA BONITA";6
"350535 BARRA DO CHAPEU";4
"350550 BARRETOS";22
"350570 BARUERI";61
"350580 BASTOS";3
"350590 BATATAIS";13
"350600 BAURU";21
"350610 BEBEDOURO";24
"350630 BERNARDINO DE CAMPOS";4
"350635 BERTIOGA";7
"350640 BILAC";2
"350650 BIRIGUI";41
"350690 BOFETE";1
"350700 BOITUVA";6
"350740 BORBOREMA";1
"350760 BRAGANCA PAULISTA";54
"350770 BRAUNA";1
"350780 BRODOWSKI";1
"350810 BURITAMA";19
"350840 CABREUVA";10
"350850 CACAPAVA";3
"350860 CACHOEIRA PAULISTA";10
"350870 CACONDE";4
"350900 CAIEIRAS";23
"350925 CAJATI";8
"350950 CAMPINAS";1
"350970 CAMPOS DO JORDAO";9
"351000 CANDIDO MOTA";2
"351030 CAPELA DO ALTO";5
"351040 CAPIVARI";6
"351070 CARDOSO";3
"351120 CATIGUA";1
"351140 CERQUEIRA CESAR";28
"351220 CONCHAL";2
"351250 COROADOS";1
"351270 CORUMBATAI";1
"351290 COSMORAMA";3
"351340 CRUZEIRO";21
"351350 CUBATAO";8
"351390 DIVINOLANDIA";2
"351440 DRACENA";1
"351518 ESPIRITO SANTO DO PINHAL";4
"351550 FERNANDOPOLIS";4
"351570 FERRAZ DE VASCONCELOS";22
"351600 FLORIDA PAULISTA";2
"351650 GABRIEL MONTEIRO";1
"351660 GALIA";2
"351720 GUAICARA";1
"351820 GUARARAPES";2
"351850 GUAREI";2
"351870 GUARUJA";144
"351880 GUARULHOS";208
"351930 IBATE";3
"351940 IBIRA";9
"351960 IBITINGA";28
"352000 IGARACU DO TIETE";4
"352040 ILHABELA";1
"352042 ILHA COMPRIDA";7
"352070 INDIAPORA";2
"352090 IPAUSSU";2
"352115 IPIGUA";2
"352130 IPUA";10
"352190 ITAJOBI";3
"352200 ITAJU";3
"352220 ITAPECERICA DA SERRA";12
"352250 ITAPEVI";20
"352260 ITAPIRA";13
"352310 ITAQUAQUECETUBA";125
"352340 ITATIBA";22
"352360 ITIRAPINA";7
"352380 ITOBI";3
"352410 ITUVERAVA";4
"352440 JACAREI";94
"352450 JACI";10
"352460 JACUPIRANGA";2
"352480 JALES";10
"352500 JANDIRA";17
"352530 JAU";59
"352570 JOSE BONIFACIO";8
"352610 JUQUIA";2
"352620 JUQUITIBA";28
"352670 LEME";10
"352720 LORENA";19
"352730 LOUVEIRA";6
"352800 MACATUBA";3
"352840 MAIRINQUE";11
"352860 MANDURI";1
"352890 MARIAPOLIS";24
"352900 MARILIA";15
"352930 MATAO";15
"352950 MENDONCA";25
"352960 MERIDIANO";1
"352980 MINEIROS DO TIETE";1
"352990 MIRACATU";1
"353050 MOCOCA";13
"353060 MOGI DAS CRUZES";165
"353070 MOGI GUACU";1
"353080 MOGI MIRIM";17
"353130 MONTE ALTO";10
"353140 MONTE APRAZIVEL";1
"353190 MORRO AGUDO";1
"353240 NAZARE PAULISTA";3
"353260 NHANDEARA";1
"353290 NOVA EUROPA";17
"353350 NOVO HORIZONTE";4
"353370 OCAUCU";3
"353390 OLIMPIA";5
"353460 OSVALDO CRUZ";4
"353500 PALESTINA";1
"353510 PALMARES PAULISTA";2
"353520 PALMEIRA D'OESTE";5
"353540 PANORAMA";7
"353550 PARAGUACU PAULISTA";9
"353580 PARANAPANEMA";1
"353600 PARAPUA";18
"353620 PARIQUERA-ACU";1
"353700 PEDREGULHO";2
"353730 PENAPOLIS";35
"353770 PIACATU";3
"353790 PILAR DO SUL";12
"353800 PINDAMONHANGABA";146
"353810 PINDORAMA";4
"353920 PIRAPOZINHO";7
"353940 PIRATININGA";9
"353950 PITANGUEIRAS";10
"353980 POA";139
"354010 PONGAI";3
"354020 PONTAL";13
"354060 PORTO FELIZ";7
"354070 PORTO FERREIRA";9
"354080 POTIRENDABA";47
"354160 PROMISSAO";4
"354200 QUINTANA";4
"354250 REGINOPOLIS";2
"354260 REGISTRO";14
"354330 RIBEIRAO PIRES";77
"354340 RIBEIRAO PRETO";10
"354380 RINOPOLIS";9
"354390 RIO CLARO";19
"354400 RIO DAS PEDRAS";3
"354410 RIO GRANDE DA SERRA";6
"354520 SALTO";35
"354530 SALTO DE PIRAPORA";4
"354610 SANTA CLARA D'OESTE";1
"354640 SANTA CRUZ DO RIO PARDO";30
"354650 SANTA ERNESTINA";1
"354660 SANTA FE DO SUL";2
"354670 SANTA GERTRUDES";6
"354680 SANTA ISABEL";15
"354690 SANTA LUCIA";7
"354700 SANTA MARIA DA SERRA";1
"354730 SANTANA DE PARNAIBA";22
"354750 SANTA RITA DO PASSA QUATRO";6
"354780 SANTO ANDRE";38
"354805 SANTO ANTONIO DO ARACANGUA";1
"354810 SANTO ANTONIO DO JARDIM";3
"354850 SANTOS";143
"354860 SAO BENTO DO SAPUCAI";3
"354880 SAO CAETANO DO SUL";4
"354890 SAO CARLOS";23
"354970 SAO JOSE DO RIO PARDO";1
"354980 SAO JOSE DO RIO PRETO";107
"354990 SAO JOSE DOS CAMPOS";47
"354995 SAO LOURENCO DA SERRA";3
"355010 SAO MANUEL";4
"355040 SAO PEDRO";6
"355060 SAO ROQUE";13
"355080 SAO SEBASTIAO DA GRAMA";6
"355100 SAO VICENTE";56
"355170 SERTAOZINHO";48
"355200 SILVEIRAS";4
"355250 SUZANO";25
"355270 TABATINGA";2
"355400 TATUI";58
"355410 TAUBATE";1
"355470 TORRINHA";1
"355480 TREMEMBE";1
"355500 TUPA";25
"355510 TUPI PAULISTA";1
"355535 UBARANA";1
"355570 UNIAO PAULISTA";3
"355600 URUPES";2
"355640 VARGEM GRANDE DO SUL";19
"355645 VARGEM GRANDE PAULISTA";14
"355710 VOTUPORANGA";13
"355720 CHAVANTES";1
"355730 ESTIVA GERBI";2
"Total";3286
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
