Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"350010 ADAMANTINA";2
"350070 AGUDOS";1
"350115 ALUMINIO";3
"350210 ANDRADINA";4
"350220 ANGATUBA";6
"350270 APIAI";4
"350275 ARACARIGUAMA";4
"350310 ARANDU";1
"350315 ARAPEI";1
"350320 ARARAQUARA";12
"350330 ARARAS";26
"350390 ARUJA";12
"350410 ATIBAIA";4
"350530 BARRA BONITA";7
"350535 BARRA DO CHAPEU";9
"350550 BARRETOS";10
"350570 BARUERI";183
"350590 BATATAIS";14
"350600 BAURU";22
"350610 BEBEDOURO";24
"350620 BENTO DE ABREU";1
"350635 BERTIOGA";19
"350650 BIRIGUI";42
"350690 BOFETE";1
"350700 BOITUVA";3
"350760 BRAGANCA PAULISTA";47
"350780 BRODOWSKI";1
"350810 BURITAMA";1
"350820 BURITIZAL";2
"350840 CABREUVA";5
"350850 CACAPAVA";11
"350860 CACHOEIRA PAULISTA";1
"350900 CAIEIRAS";91
"350925 CAJATI";38
"351030 CAPELA DO ALTO";14
"351040 CAPIVARI";4
"351070 CARDOSO";1
"351120 CATIGUA";4
"351140 CERQUEIRA CESAR";11
"351220 CONCHAL";4
"351250 COROADOS";1
"351290 COSMORAMA";5
"351340 CRUZEIRO";12
"351350 CUBATAO";9
"351390 DIVINOLANDIA";5
"351400 DOBRADA";1
"351470 ECHAPORA";2
"351518 ESPIRITO SANTO DO PINHAL";4
"351520 ESTRELA D'OESTE";1
"351550 FERNANDOPOLIS";9
"351570 FERRAZ DE VASCONCELOS";25
"351640 FRANCO DA ROCHA";1
"351660 GALIA";2
"351680 GASTAO VIDIGAL";1
"351720 GUAICARA";1
"351840 GUARATINGUETA";1
"351870 GUARUJA";145
"351880 GUARULHOS";161
"351900 HERCULANDIA";1
"351920 IACRI";2
"351930 IBATE";5
"351940 IBIRA";1
"351960 IBITINGA";8
"352000 IGARACU DO TIETE";6
"352040 ILHABELA";5
"352070 INDIAPORA";3
"352090 IPAUSSU";2
"352115 IPIGUA";4
"352130 IPUA";13
"352200 ITAJU";1
"352215 ITAOCA";1
"352220 ITAPECERICA DA SERRA";18
"352250 ITAPEVI";20
"352260 ITAPIRA";15
"352310 ITAQUAQUECETUBA";86
"352340 ITATIBA";29
"352360 ITIRAPINA";7
"352380 ITOBI";2
"352410 ITUVERAVA";5
"352440 JACAREI";82
"352450 JACI";20
"352480 JALES";10
"352500 JANDIRA";20
"352530 JAU";15
"352570 JOSE BONIFACIO";14
"352580 JULIO MESQUITA";1
"352620 JUQUITIBA";11
"352670 LEME";17
"352720 LORENA";16
"352730 LOUVEIRA";1
"352740 LUCELIA";1
"352840 MAIRINQUE";13
"352860 MANDURI";6
"352890 MARIAPOLIS";29
"352900 MARILIA";12
"352920 MARTINOPOLIS";5
"352930 MATAO";9
"352950 MENDONCA";1
"352960 MERIDIANO";1
"352990 MIRACATU";3
"353050 MOCOCA";10
"353060 MOGI DAS CRUZES";85
"353080 MOGI MIRIM";20
"353130 MONTE ALTO";4
"353140 MONTE APRAZIVEL";3
"353190 MORRO AGUDO";2
"353240 NAZARE PAULISTA";3
"353250 NEVES PAULISTA";4
"353260 NHANDEARA";2
"353290 NOVA EUROPA";3
"353320 NOVA INDEPENDENCIA";2
"353350 NOVO HORIZONTE";5
"353370 OCAUCU";3
"353390 OLIMPIA";1
"353430 ORLANDIA";2
"353460 OSVALDO CRUZ";16
"353490 PACAEMBU";1
"353500 PALESTINA";2
"353520 PALMEIRA D'OESTE";2
"353530 PALMITAL";2
"353540 PANORAMA";7
"353550 PARAGUACU PAULISTA";6
"353570 PARAISO";10
"353600 PARAPUA";1
"353620 PARIQUERA-ACU";6
"353700 PEDREGULHO";2
"353715 PEDRINHAS PAULISTA";1
"353730 PENAPOLIS";25
"353770 PIACATU";2
"353790 PILAR DO SUL";6
"353800 PINDAMONHANGABA";70
"353810 PINDORAMA";8
"353920 PIRAPOZINHO";2
"353940 PIRATININGA";5
"353950 PITANGUEIRAS";10
"354010 PONGAI";3
"354020 PONTAL";10
"354060 PORTO FELIZ";3
"354070 PORTO FERREIRA";22
"354075 POTIM";4
"354080 POTIRENDABA";16
"354090 PRADOPOLIS";3
"354160 PROMISSAO";3
"354250 REGINOPOLIS";1
"354260 REGISTRO";23
"354330 RIBEIRAO PIRES";37
"354340 RIBEIRAO PRETO";4
"354380 RINOPOLIS";5
"354390 RIO CLARO";6
"354400 RIO DAS PEDRAS";1
"354410 RIO GRANDE DA SERRA";3
"354520 SALTO";21
"354530 SALTO DE PIRAPORA";3
"354540 SALTO GRANDE";2
"354640 SANTA CRUZ DO RIO PARDO";7
"354670 SANTA GERTRUDES";11
"354680 SANTA ISABEL";17
"354690 SANTA LUCIA";2
"354700 SANTA MARIA DA SERRA";1
"354720 SANTANA DA PONTE PENSA";2
"354730 SANTANA DE PARNAIBA";15
"354750 SANTA RITA DO PASSA QUATRO";3
"354780 SANTO ANDRE";79
"354805 SANTO ANTONIO DO ARACANGUA";4
"354810 SANTO ANTONIO DO JARDIM";4
"354850 SANTOS";85
"354890 SAO CARLOS";21
"354960 SAO JOSE DO BARREIRO";1
"354970 SAO JOSE DO RIO PARDO";4
"354980 SAO JOSE DO RIO PRETO";109
"354990 SAO JOSE DOS CAMPOS";46
"354995 SAO LOURENCO DA SERRA";6
"355010 SAO MANUEL";4
"355040 SAO PEDRO";4
"355060 SAO ROQUE";12
"355080 SAO SEBASTIAO DA GRAMA";3
"355100 SAO VICENTE";44
"355150 SERRANA";2
"355170 SERTAOZINHO";27
"355200 SILVEIRAS";1
"355250 SUZANO";15
"355340 TANABI";4
"355380 TAQUARITUBA";1
"355400 TATUI";44
"355410 TAUBATE";7
"355480 TREMEMBE";1
"355500 TUPA";8
"355510 TUPI PAULISTA";3
"355570 UNIAO PAULISTA";4
"355640 VARGEM GRANDE DO SUL";5
"355645 VARGEM GRANDE PAULISTA";20
"355710 VOTUPORANGA";18
"355720 CHAVANTES";3
"Total";2707
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
