Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";3
"280130 CAPELA";3
"280210 ESTANCIA";3
"280290 ITABAIANA";18
"280320 ITAPORANGA D'AJUDA";8
"280340 JAPOATA";2
"280350 LAGARTO";24
"280390 MALHADOR";1
"280420 MONTE ALEGRE DE SERGIPE";1
"280450 NOSSA SENHORA DA GLORIA";13
"280510 PEDRINHAS";1
"280570 PROPRIA";2
"280620 SALGADO";1
"280660 SANTO AMARO DAS BROTAS";2
"280670 SAO CRISTOVAO";5
"280710 SIMAO DIAS";3
"280740 TOBIAS BARRETO";6
"280760 UMBAUBA";3
"Total";99
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
