Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";2
"280067 BOQUIM";3
"280100 CAMPO DO BRITO";1
"280130 CAPELA";2
"280170 CRISTINAPOLIS";3
"280210 ESTANCIA";5
"280290 ITABAIANA";21
"280340 JAPOATA";1
"280350 LAGARTO";16
"280390 MALHADOR";3
"280400 MARUIM";1
"280410 MOITA BONITA";2
"280420 MONTE ALEGRE DE SERGIPE";2
"280450 NOSSA SENHORA DA GLORIA";10
"280460 NOSSA SENHORA DAS DORES";2
"280560 PORTO DA FOLHA";2
"280570 PROPRIA";1
"280590 RIACHUELO";1
"280600 RIBEIROPOLIS";3
"280620 SALGADO";8
"280660 SANTO AMARO DAS BROTAS";1
"280670 SAO CRISTOVAO";6
"280680 SAO DOMINGOS";12
"280710 SIMAO DIAS";2
"280740 TOBIAS BARRETO";3
"280750 TOMAR DO GERU";4
"Total";117
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
