Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";6
"280067 BOQUIM";14
"280110 CANHOBA";1
"280140 CARIRA";1
"280150 CARMOPOLIS";1
"280170 CRISTINAPOLIS";2
"280210 ESTANCIA";1
"280290 ITABAIANA";11
"280350 LAGARTO";11
"280390 MALHADOR";1
"280400 MARUIM";1
"280410 MOITA BONITA";3
"280420 MONTE ALEGRE DE SERGIPE";2
"280440 NEOPOLIS";2
"280450 NOSSA SENHORA DA GLORIA";3
"280460 NOSSA SENHORA DAS DORES";1
"280510 PEDRINHAS";2
"280520 PINHAO";1
"280570 PROPRIA";7
"280600 RIBEIROPOLIS";3
"280610 ROSARIO DO CATETE";3
"280670 SAO CRISTOVAO";2
"280680 SAO DOMINGOS";8
"280690 SAO FRANCISCO";1
"280740 TOBIAS BARRETO";7
"280750 TOMAR DO GERU";7
"Total";102
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
