Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";5
"280067 BOQUIM";2
"280100 CAMPO DO BRITO";2
"280170 CRISTINAPOLIS";2
"280210 ESTANCIA";2
"280290 ITABAIANA";12
"280320 ITAPORANGA D'AJUDA";2
"280350 LAGARTO";8
"280360 LARANJEIRAS";1
"280440 NEOPOLIS";1
"280460 NOSSA SENHORA DAS DORES";1
"280520 PINHAO";1
"280570 PROPRIA";1
"280600 RIBEIROPOLIS";3
"280670 SAO CRISTOVAO";2
"280680 SAO DOMINGOS";10
"280750 TOMAR DO GERU";6
"280760 UMBAUBA";1
"Total";62
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
