Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"280020 AQUIDABA";1
"280050 AREIA BRANCA";2
"280130 CAPELA";2
"280140 CARIRA";2
"280170 CRISTINAPOLIS";2
"280210 ESTANCIA";5
"280220 FEIRA NOVA";1
"280290 ITABAIANA";13
"280350 LAGARTO";32
"280440 NEOPOLIS";2
"280450 NOSSA SENHORA DA GLORIA";19
"280570 PROPRIA";3
"280600 RIBEIROPOLIS";1
"280610 ROSARIO DO CATETE";3
"280670 SAO CRISTOVAO";2
"280680 SAO DOMINGOS";2
"280710 SIMAO DIAS";5
"280740 TOBIAS BARRETO";11
"280760 UMBAUBA";42
"Total";150
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
