Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"280130 CAPELA";13
"280140 CARIRA";2
"280170 CRISTINAPOLIS";5
"280210 ESTANCIA";3
"280220 FEIRA NOVA";1
"280270 ILHA DAS FLORES";21
"280290 ITABAIANA";19
"280320 ITAPORANGA D'AJUDA";13
"280350 LAGARTO";11
"280390 MALHADOR";1
"280410 MOITA BONITA";1
"280440 NEOPOLIS";1
"280450 NOSSA SENHORA DA GLORIA";7
"280510 PEDRINHAS";2
"280520 PINHAO";2
"280560 PORTO DA FOLHA";2
"280570 PROPRIA";3
"280600 RIBEIROPOLIS";1
"280610 ROSARIO DO CATETE";6
"280620 SALGADO";1
"280660 SANTO AMARO DAS BROTAS";6
"280680 SAO DOMINGOS";4
"280710 SIMAO DIAS";3
"280730 TELHA";1
"280740 TOBIAS BARRETO";15
"280750 TOMAR DO GERU";1
"280760 UMBAUBA";14
"Total";159
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
