Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";21
"280110 CANHOBA";2
"280130 CAPELA";2
"280170 CRISTINAPOLIS";2
"280210 ESTANCIA";5
"280270 ILHA DAS FLORES";1
"280290 ITABAIANA";14
"280320 ITAPORANGA D'AJUDA";1
"280350 LAGARTO";8
"280410 MOITA BONITA";1
"280440 NEOPOLIS";17
"280450 NOSSA SENHORA DA GLORIA";8
"280510 PEDRINHAS";4
"280520 PINHAO";1
"280530 PIRAMBU";1
"280570 PROPRIA";3
"280600 RIBEIROPOLIS";1
"280660 SANTO AMARO DAS BROTAS";67
"280670 SAO CRISTOVAO";2
"280740 TOBIAS BARRETO";12
"280750 TOMAR DO GERU";1
"280760 UMBAUBA";4
"Total";178
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
