Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";20
"280130 CAPELA";3
"280170 CRISTINAPOLIS";1
"280210 ESTANCIA";3
"280270 ILHA DAS FLORES";16
"280290 ITABAIANA";13
"280320 ITAPORANGA D'AJUDA";13
"280350 LAGARTO";20
"280410 MOITA BONITA";1
"280440 NEOPOLIS";1
"280450 NOSSA SENHORA DA GLORIA";8
"280570 PROPRIA";2
"280600 RIBEIROPOLIS";5
"280660 SANTO AMARO DAS BROTAS";8
"280740 TOBIAS BARRETO";14
"280750 TOMAR DO GERU";1
"Total";129
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
