Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";6
"280100 CAMPO DO BRITO";1
"280210 ESTANCIA";4
"280220 FEIRA NOVA";1
"280270 ILHA DAS FLORES";6
"280290 ITABAIANA";15
"280330 JAPARATUBA";2
"280350 LAGARTO";10
"280390 MALHADOR";1
"280410 MOITA BONITA";2
"280450 NOSSA SENHORA DA GLORIA";23
"280520 PINHAO";1
"280570 PROPRIA";1
"280600 RIBEIROPOLIS";2
"280620 SALGADO";5
"280670 SAO CRISTOVAO";1
"280680 SAO DOMINGOS";2
"280740 TOBIAS BARRETO";11
"Total";94
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
