Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";5
"280067 BOQUIM";13
"280140 CARIRA";1
"280210 ESTANCIA";3
"280270 ILHA DAS FLORES";14
"280290 ITABAIANA";13
"280350 LAGARTO";12
"280400 MARUIM";1
"280410 MOITA BONITA";1
"280450 NOSSA SENHORA DA GLORIA";11
"280510 PEDRINHAS";2
"280520 PINHAO";2
"280570 PROPRIA";7
"280600 RIBEIROPOLIS";4
"280620 SALGADO";9
"280670 SAO CRISTOVAO";2
"280680 SAO DOMINGOS";8
"280710 SIMAO DIAS";1
"280740 TOBIAS BARRETO";6
"280750 TOMAR DO GERU";2
"Total";117
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
