Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";4
"280067 BOQUIM";16
"280100 CAMPO DO BRITO";5
"280130 CAPELA";4
"280140 CARIRA";1
"280170 CRISTINAPOLIS";3
"280210 ESTANCIA";2
"280270 ILHA DAS FLORES";1
"280290 ITABAIANA";19
"280340 JAPOATA";5
"280350 LAGARTO";23
"280400 MARUIM";9
"280410 MOITA BONITA";1
"280440 NEOPOLIS";1
"280450 NOSSA SENHORA DA GLORIA";15
"280520 PINHAO";3
"280530 PIRAMBU";2
"280570 PROPRIA";7
"280600 RIBEIROPOLIS";4
"280620 SALGADO";11
"280670 SAO CRISTOVAO";3
"280680 SAO DOMINGOS";11
"280710 SIMAO DIAS";3
"280740 TOBIAS BARRETO";9
"280750 TOMAR DO GERU";1
"Total";163
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
