Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Sergipe
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"280050 AREIA BRANCA";6
"280067 BOQUIM";10
"280100 CAMPO DO BRITO";4
"280140 CARIRA";1
"280170 CRISTINAPOLIS";4
"280210 ESTANCIA";3
"280290 ITABAIANA";22
"280350 LAGARTO";14
"280390 MALHADOR";1
"280410 MOITA BONITA";2
"280420 MONTE ALEGRE DE SERGIPE";1
"280440 NEOPOLIS";1
"280450 NOSSA SENHORA DA GLORIA";4
"280520 PINHAO";3
"280530 PIRAMBU";2
"280560 PORTO DA FOLHA";5
"280570 PROPRIA";6
"280600 RIBEIROPOLIS";2
"280610 ROSARIO DO CATETE";1
"280620 SALGADO";9
"280660 SANTO AMARO DAS BROTAS";1
"280670 SAO CRISTOVAO";17
"280680 SAO DOMINGOS";2
"280710 SIMAO DIAS";1
"280740 TOBIAS BARRETO";11
"280750 TOMAR DO GERU";3
"Total";136
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
