Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"170030 AGUIARNOPOLIS";1
"170040 ALMAS";3
"170100 ANANAS";1
"170105 ANGICO";2
"170110 APARECIDA DO RIO NEGRO";3
"170130 ARAGOMINAS";3
"170220 ARAGUATINS";1
"170240 ARRAIAS";1
"170255 AUGUSTINOPOLIS";1
"170320 BERNARDO SAYAO";2
"170386 CARIRI DO TOCANTINS";2
"170388 CARMOLANDIA";1
"170550 COLINAS DO TOCANTINS";23
"170555 COMBINADO";1
"170610 CRISTALANDIA";2
"170710 DIVINOPOLIS DO TOCANTINS";1
"170730 DUERE";1
"170740 ESPERANTINA";1
"170820 FORMOSO DO ARAGUAIA";1
"171190 LAGOA DA CONFUSAO";5
"171320 MIRACEMA DO TOCANTINS";4
"171510 NOVO ACORDO";2
"171610 PARAISO DO TOCANTINS";12
"171630 PAU D'ARCO";5
"171660 PEIXE";3
"171665 PEQUIZEIRO";1
"171820 PORTO NACIONAL";9
"171845 PUGMIL";1
"171900 SANTA TEREZA DO TOCANTINS";2
"172010 SAO BENTO DO TOCANTINS";1
"172030 SAO SEBASTIAO DO TOCANTINS";5
"172065 SILVANOPOLIS";3
"172090 TAGUATINGA";2
"172100 PALMAS";7
"Total";113
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
