Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"170035 ALIANCA DO TOCANTINS";5
"170040 ALMAS";1
"170100 ANANAS";1
"170130 ARAGOMINAS";1
"170210 ARAGUAINA";1
"170255 AUGUSTINOPOLIS";6
"170290 AXIXA DO TOCANTINS";11
"170310 BARROLANDIA";4
"170388 CARMOLANDIA";5
"170410 CENTENARIO";1
"170510 CHAPADA DA NATIVIDADE";1
"170550 COLINAS DO TOCANTINS";5
"170600 COUTO MAGALHAES";1
"170610 CRISTALANDIA";2
"170650 DARCINOPOLIS";1
"170720 DOIS IRMAOS DO TOCANTINS";1
"170730 DUERE";2
"170755 FATIMA";5
"170765 FIGUEIROPOLIS";1
"170820 FORMOSO DO ARAGUAIA";21
"171190 LAGOA DA CONFUSAO";1
"171200 LAJEADO";1
"171320 MIRACEMA DO TOCANTINS";5
"171330 MIRANORTE";2
"171510 NOVO ACORDO";2
"171610 PARAISO DO TOCANTINS";2
"171650 PEDRO AFONSO";26
"171665 PEQUIZEIRO";4
"171670 COLMEIA";18
"171750 PIUM";1
"171820 PORTO NACIONAL";15
"171845 PUGMIL";2
"171884 SANDOLANDIA";1
"171890 SANTA ROSA DO TOCANTINS";1
"172065 SILVANOPOLIS";1
"172090 TAGUATINGA";2
"172097 TALISMA";1
"172100 PALMAS";4
"172120 TOCANTINOPOLIS";1
"Total";166
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
