Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"170040 ALMAS";1
"170110 APARECIDA DO RIO NEGRO";2
"170190 ARAGUACEMA";1
"170220 ARAGUATINS";1
"170255 AUGUSTINOPOLIS";1
"170270 AURORA DO TOCANTINS";3
"170290 AXIXA DO TOCANTINS";5
"170307 BARRA DO OURO";1
"170310 BARROLANDIA";1
"170388 CARMOLANDIA";6
"170410 CENTENARIO";3
"170730 DUERE";1
"170740 ESPERANTINA";2
"170820 FORMOSO DO ARAGUAIA";13
"171070 ITAGUATINS";1
"171320 MIRACEMA DO TOCANTINS";3
"171420 NATIVIDADE";1
"171430 NAZARE";2
"171510 NOVO ACORDO";11
"171610 PARAISO DO TOCANTINS";5
"171620 PARANA";1
"171650 PEDRO AFONSO";6
"171665 PEQUIZEIRO";1
"171750 PIUM";2
"171820 PORTO NACIONAL";15
"171845 PUGMIL";3
"171855 RIACHINHO";1
"171880 SAMPAIO";3
"171884 SANDOLANDIA";2
"171890 SANTA ROSA DO TOCANTINS";1
"172010 SAO BENTO DO TOCANTINS";1
"172030 SAO SEBASTIAO DO TOCANTINS";1
"172065 SILVANOPOLIS";1
"172080 SITIO NOVO DO TOCANTINS";7
"172090 TAGUATINGA";3
"172100 PALMAS";19
"172120 TOCANTINOPOLIS";1
"Total";132
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
