Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"170100 ANANAS";1
"170270 AURORA DO TOCANTINS";1
"170550 COLINAS DO TOCANTINS";1
"170600 COUTO MAGALHAES";1
"170610 CRISTALANDIA";2
"170710 DIVINOPOLIS DO TOCANTINS";2
"170765 FIGUEIROPOLIS";1
"170820 FORMOSO DO ARAGUAIA";5
"170825 FORTALEZA DO TABOCAO";1
"171320 MIRACEMA DO TOCANTINS";4
"171330 MIRANORTE";3
"171420 NATIVIDADE";1
"171430 NAZARE";1
"171510 NOVO ACORDO";3
"171575 PALMEIROPOLIS";1
"171610 PARAISO DO TOCANTINS";3
"171620 PARANA";7
"171650 PEDRO AFONSO";3
"171665 PEQUIZEIRO";1
"171750 PIUM";6
"171820 PORTO NACIONAL";20
"171880 SAMPAIO";1
"171884 SANDOLANDIA";1
"171889 SANTA RITA DO TOCANTINS";2
"172080 SITIO NOVO DO TOCANTINS";4
"172090 TAGUATINGA";2
"172097 TALISMA";1
"172100 PALMAS";9
"172120 TOCANTINOPOLIS";2
"Total";90
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
