Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"170100 ANANAS";1
"170110 APARECIDA DO RIO NEGRO";1
"170130 ARAGOMINAS";1
"170190 ARAGUACEMA";2
"170240 ARRAIAS";4
"170255 AUGUSTINOPOLIS";1
"170300 BABACULANDIA";3
"170320 BERNARDO SAYAO";5
"170360 BRASILANDIA DO TOCANTINS";1
"170370 BREJINHO DE NAZARE";1
"170390 CASEARA";3
"170550 COLINAS DO TOCANTINS";9
"170560 CONCEICAO DO TOCANTINS";1
"170600 COUTO MAGALHAES";1
"170650 DARCINOPOLIS";2
"170720 DOIS IRMAOS DO TOCANTINS";1
"170740 ESPERANTINA";3
"170755 FATIMA";1
"170820 FORMOSO DO ARAGUAIA";7
"170950 GURUPI";2
"171110 ITAPORA DO TOCANTINS";2
"171150 JAU DO TOCANTINS";1
"171190 LAGOA DA CONFUSAO";3
"171250 MARIANOPOLIS DO TOCANTINS";8
"171320 MIRACEMA DO TOCANTINS";4
"171420 NATIVIDADE";1
"171430 NAZARE";2
"171510 NOVO ACORDO";3
"171610 PARAISO DO TOCANTINS";7
"171630 PAU D'ARCO";2
"171650 PEDRO AFONSO";5
"171670 COLMEIA";3
"171820 PORTO NACIONAL";10
"171830 PRAIA NORTE";1
"171845 PUGMIL";25
"171884 SANDOLANDIA";1
"171889 SANTA RITA DO TOCANTINS";3
"171900 SANTA TEREZA DO TOCANTINS";10
"172010 SAO BENTO DO TOCANTINS";2
"172015 SAO FELIX DO TOCANTINS";1
"172020 SAO MIGUEL DO TOCANTINS";1
"172030 SAO SEBASTIAO DO TOCANTINS";24
"172049 SAO VALERIO";1
"172065 SILVANOPOLIS";1
"172090 TAGUATINGA";2
"172100 PALMAS";5
"172120 TOCANTINOPOLIS";2
"172210 XAMBIOA";2
"Total";182
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
