Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"170035 ALIANCA DO TOCANTINS";1
"170040 ALMAS";2
"170100 ANANAS";1
"170110 APARECIDA DO RIO NEGRO";7
"170130 ARAGOMINAS";1
"170220 ARAGUATINS";1
"170255 AUGUSTINOPOLIS";2
"170300 BABACULANDIA";1
"170320 BERNARDO SAYAO";4
"170510 CHAPADA DA NATIVIDADE";1
"170550 COLINAS DO TOCANTINS";18
"170625 CRIXAS DO TOCANTINS";1
"170710 DIVINOPOLIS DO TOCANTINS";1
"170740 ESPERANTINA";7
"170765 FIGUEIROPOLIS";2
"170820 FORMOSO DO ARAGUAIA";6
"171110 ITAPORA DO TOCANTINS";1
"171190 LAGOA DA CONFUSAO";3
"171195 LAGOA DO TOCANTINS";4
"171245 LUZINOPOLIS";2
"171320 MIRACEMA DO TOCANTINS";10
"171330 MIRANORTE";4
"171420 NATIVIDADE";3
"171430 NAZARE";1
"171510 NOVO ACORDO";4
"171610 PARAISO DO TOCANTINS";4
"171650 PEDRO AFONSO";13
"171660 PEIXE";1
"171665 PEQUIZEIRO";1
"171670 COLMEIA";1
"171750 PIUM";1
"171820 PORTO NACIONAL";18
"171840 PRESIDENTE KENNEDY";1
"171845 PUGMIL";2
"171875 RIO SONO";1
"171880 SAMPAIO";1
"171884 SANDOLANDIA";1
"171889 SANTA RITA DO TOCANTINS";2
"172010 SAO BENTO DO TOCANTINS";4
"172030 SAO SEBASTIAO DO TOCANTINS";10
"172049 SAO VALERIO";1
"172065 SILVANOPOLIS";2
"172090 TAGUATINGA";5
"172097 TALISMA";1
"172100 PALMAS";16
"172120 TOCANTINOPOLIS";1
"Total";175
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
