Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"170100 ANANAS";1
"170110 APARECIDA DO RIO NEGRO";5
"170130 ARAGOMINAS";1
"170190 ARAGUACEMA";1
"170240 ARRAIAS";1
"170255 AUGUSTINOPOLIS";1
"170270 AURORA DO TOCANTINS";30
"170300 BABACULANDIA";2
"170307 BARRA DO OURO";1
"170320 BERNARDO SAYAO";1
"170370 BREJINHO DE NAZARE";1
"170390 CASEARA";2
"170550 COLINAS DO TOCANTINS";12
"170555 COMBINADO";10
"170710 DIVINOPOLIS DO TOCANTINS";1
"170720 DOIS IRMAOS DO TOCANTINS";2
"170740 ESPERANTINA";6
"170820 FORMOSO DO ARAGUAIA";5
"171070 ITAGUATINS";1
"171150 JAU DO TOCANTINS";2
"171320 MIRACEMA DO TOCANTINS";5
"171330 MIRANORTE";4
"171380 PALMEIRAS DO TOCANTINS";1
"171420 NATIVIDADE";1
"171510 NOVO ACORDO";3
"171515 NOVO ALEGRE";1
"171610 PARAISO DO TOCANTINS";8
"171820 PORTO NACIONAL";12
"171855 RIACHINHO";1
"172010 SAO BENTO DO TOCANTINS";1
"172020 SAO MIGUEL DO TOCANTINS";3
"172049 SAO VALERIO";2
"172065 SILVANOPOLIS";4
"172090 TAGUATINGA";5
"172100 PALMAS";8
"172120 TOCANTINOPOLIS";1
"Total";146
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
