Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"170040 ALMAS";1
"170105 ANGICO";7
"170110 APARECIDA DO RIO NEGRO";2
"170130 ARAGOMINAS";1
"170255 AUGUSTINOPOLIS";1
"170270 AURORA DO TOCANTINS";1
"170300 BABACULANDIA";2
"170370 BREJINHO DE NAZARE";1
"170389 CARRASCO BONITO";1
"170550 COLINAS DO TOCANTINS";2
"170555 COMBINADO";1
"170650 DARCINOPOLIS";2
"170700 DIANOPOLIS";2
"170710 DIVINOPOLIS DO TOCANTINS";2
"170730 DUERE";3
"170740 ESPERANTINA";1
"170820 FORMOSO DO ARAGUAIA";7
"171110 ITAPORA DO TOCANTINS";1
"171320 MIRACEMA DO TOCANTINS";5
"171330 MIRANORTE";2
"171430 NAZARE";2
"171500 NOVA ROSALANDIA";1
"171510 NOVO ACORDO";2
"171610 PARAISO DO TOCANTINS";5
"171650 PEDRO AFONSO";3
"171820 PORTO NACIONAL";32
"171830 PRAIA NORTE";1
"171875 RIO SONO";1
"171884 SANDOLANDIA";1
"172010 SAO BENTO DO TOCANTINS";1
"172020 SAO MIGUEL DO TOCANTINS";4
"172065 SILVANOPOLIS";3
"172090 TAGUATINGA";5
"172100 PALMAS";8
"Total";114
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
