Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"170030 AGUIARNOPOLIS";1
"170035 ALIANCA DO TOCANTINS";2
"170100 ANANAS";1
"170105 ANGICO";4
"170110 APARECIDA DO RIO NEGRO";4
"170130 ARAGOMINAS";2
"170240 ARRAIAS";2
"170255 AUGUSTINOPOLIS";3
"170270 AURORA DO TOCANTINS";1
"170290 AXIXA DO TOCANTINS";1
"170300 BABACULANDIA";1
"170310 BARROLANDIA";3
"170320 BERNARDO SAYAO";1
"170360 BRASILANDIA DO TOCANTINS";4
"170550 COLINAS DO TOCANTINS";4
"170555 COMBINADO";6
"170610 CRISTALANDIA";1
"170650 DARCINOPOLIS";2
"170710 DIVINOPOLIS DO TOCANTINS";2
"170720 DOIS IRMAOS DO TOCANTINS";1
"170730 DUERE";7
"170740 ESPERANTINA";1
"170820 FORMOSO DO ARAGUAIA";2
"171190 LAGOA DA CONFUSAO";2
"171215 LAVANDEIRA";1
"171280 MAURILANDIA DO TOCANTINS";1
"171320 MIRACEMA DO TOCANTINS";6
"171330 MIRANORTE";1
"171380 PALMEIRAS DO TOCANTINS";2
"171420 NATIVIDADE";1
"171610 PARAISO DO TOCANTINS";5
"171650 PEDRO AFONSO";9
"171665 PEQUIZEIRO";1
"171670 COLMEIA";3
"171820 PORTO NACIONAL";34
"171845 PUGMIL";20
"171875 RIO SONO";1
"171880 SAMPAIO";1
"172049 SAO VALERIO";1
"172065 SILVANOPOLIS";11
"172090 TAGUATINGA";1
"172100 PALMAS";4
"Total";161
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
