Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"170040 ALMAS";1
"170100 ANANAS";1
"170110 APARECIDA DO RIO NEGRO";1
"170255 AUGUSTINOPOLIS";1
"170290 AXIXA DO TOCANTINS";1
"170310 BARROLANDIA";2
"170320 BERNARDO SAYAO";1
"170370 BREJINHO DE NAZARE";8
"170410 CENTENARIO";1
"170550 COLINAS DO TOCANTINS";10
"170610 CRISTALANDIA";1
"170650 DARCINOPOLIS";2
"170710 DIVINOPOLIS DO TOCANTINS";5
"170730 DUERE";3
"170740 ESPERANTINA";6
"170820 FORMOSO DO ARAGUAIA";5
"171070 ITAGUATINS";1
"171150 JAU DO TOCANTINS";1
"171320 MIRACEMA DO TOCANTINS";3
"171330 MIRANORTE";1
"171430 NAZARE";1
"171575 PALMEIROPOLIS";2
"171610 PARAISO DO TOCANTINS";3
"171670 COLMEIA";1
"171820 PORTO NACIONAL";13
"171875 RIO SONO";1
"171880 SAMPAIO";2
"171884 SANDOLANDIA";2
"171890 SANTA ROSA DO TOCANTINS";2
"172030 SAO SEBASTIAO DO TOCANTINS";1
"172049 SAO VALERIO";2
"172090 TAGUATINGA";4
"172097 TALISMA";3
"172100 PALMAS";4
"172120 TOCANTINOPOLIS";1
"Total";97
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
