Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"170040 ALMAS";1
"170100 ANANAS";6
"170105 ANGICO";1
"170110 APARECIDA DO RIO NEGRO";1
"170255 AUGUSTINOPOLIS";4
"170300 BABACULANDIA";2
"170310 BARROLANDIA";2
"170370 BREJINHO DE NAZARE";1
"170510 CHAPADA DA NATIVIDADE";1
"170550 COLINAS DO TOCANTINS";14
"170625 CRIXAS DO TOCANTINS";2
"170650 DARCINOPOLIS";1
"170740 ESPERANTINA";3
"170755 FATIMA";1
"170820 FORMOSO DO ARAGUAIA";4
"171150 JAU DO TOCANTINS";1
"171190 LAGOA DA CONFUSAO";1
"171195 LAGOA DO TOCANTINS";1
"171320 MIRACEMA DO TOCANTINS";1
"171330 MIRANORTE";3
"171510 NOVO ACORDO";1
"171575 PALMEIROPOLIS";1
"171610 PARAISO DO TOCANTINS";2
"171630 PAU D'ARCO";5
"171650 PEDRO AFONSO";8
"171660 PEIXE";1
"171750 PIUM";3
"171820 PORTO NACIONAL";19
"171830 PRAIA NORTE";1
"171845 PUGMIL";4
"171888 SANTA MARIA DO TOCANTINS";1
"171890 SANTA ROSA DO TOCANTINS";2
"172065 SILVANOPOLIS";5
"172080 SITIO NOVO DO TOCANTINS";1
"172090 TAGUATINGA";5
"172097 TALISMA";1
"172100 PALMAS";7
"172120 TOCANTINOPOLIS";1
"172125 TUPIRAMA";2
"Total";121
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
