Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Tocantins
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"170030 AGUIARNOPOLIS";2
"170035 ALIANCA DO TOCANTINS";1
"170040 ALMAS";5
"170310 BARROLANDIA";1
"170510 CHAPADA DA NATIVIDADE";1
"170550 COLINAS DO TOCANTINS";4
"170555 COMBINADO";1
"170600 COUTO MAGALHAES";2
"170710 DIVINOPOLIS DO TOCANTINS";2
"170740 ESPERANTINA";1
"170755 FATIMA";1
"170820 FORMOSO DO ARAGUAIA";6
"171320 MIRACEMA DO TOCANTINS";2
"171430 NAZARE";1
"171610 PARAISO DO TOCANTINS";8
"171650 PEDRO AFONSO";4
"171670 COLMEIA";5
"171750 PIUM";3
"171820 PORTO NACIONAL";22
"171830 PRAIA NORTE";1
"171845 PUGMIL";5
"171855 RIACHINHO";1
"171880 SAMPAIO";3
"171884 SANDOLANDIA";1
"171889 SANTA RITA DO TOCANTINS";1
"172065 SILVANOPOLIS";2
"172090 TAGUATINGA";4
"172120 TOCANTINOPOLIS";2
"Total";92
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
