Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"130002 ALVARAES";26
"130030 AUTAZES";3
"130050 BARREIRINHA";1
"130060 BENJAMIN CONSTANT";4
"130080 BORBA";4
"130083 CAAPIRANGA";2
"130140 EIRUNEPE";6
"130160 FONTE BOA";1
"130170 HUMAITA";12
"130185 IRANDUBA";11
"130190 ITACOATIARA";7
"130240 LABREA";22
"130250 MANACAPURU";4
"130255 MANAQUIRI";4
"130260 MANAUS";462
"130270 MANICORE";6
"130280 MARAA";1
"130310 NOVA OLINDA DO NORTE";10
"130340 PARINTINS";1
"130353 PRESIDENTE FIGUEIREDO";3
"130356 RIO PRETO DA EVA";13
"130370 SANTO ANTONIO DO ICA";1
"130406 TABATINGA";15
"130423 TONANTINS";1
"130426 UARINI";1
"Total";621
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
