Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"130010 ANORI";2
"130030 AUTAZES";2
"130063 BERURI";4
"130070 BOCA DO ACRE";6
"130080 BORBA";2
"130100 CARAUARI";1
"130120 COARI";4
"130140 EIRUNEPE";2
"130170 HUMAITA";3
"130190 ITACOATIARA";3
"130200 ITAPIRANGA";1
"130240 LABREA";3
"130250 MANACAPURU";27
"130255 MANAQUIRI";2
"130260 MANAUS";447
"130290 MAUES";1
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";4
"130353 PRESIDENTE FIGUEIREDO";1
"130356 RIO PRETO DA EVA";3
"130400 SILVES";1
"130406 TABATINGA";15
"130420 TEFE";28
"Total";563
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
