Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"130006 AMATURA";2
"130010 ANORI";1
"130030 AUTAZES";2
"130060 BENJAMIN CONSTANT";3
"130063 BERURI";1
"130070 BOCA DO ACRE";18
"130120 COARI";4
"130170 HUMAITA";4
"130190 ITACOATIARA";2
"130240 LABREA";2
"130250 MANACAPURU";22
"130260 MANAUS";368
"130270 MANICORE";1
"130290 MAUES";3
"130320 NOVO AIRAO";2
"130340 PARINTINS";7
"130353 PRESIDENTE FIGUEIREDO";5
"130356 RIO PRETO DA EVA";11
"130370 SANTO ANTONIO DO ICA";1
"130380 SAO GABRIEL DA CACHOEIRA";1
"130400 SILVES";5
"130406 TABATINGA";28
"130420 TEFE";6
"Total";499
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
