Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"130006 AMATURA";3
"130010 ANORI";1
"130030 AUTAZES";7
"130060 BENJAMIN CONSTANT";5
"130070 BOCA DO ACRE";1
"130080 BORBA";1
"130090 CANUTAMA";1
"130170 HUMAITA";1
"130190 ITACOATIARA";11
"130250 MANACAPURU";9
"130260 MANAUS";307
"130270 MANICORE";1
"130290 MAUES";3
"130310 NOVA OLINDA DO NORTE";1
"130340 PARINTINS";3
"130356 RIO PRETO DA EVA";16
"130370 SANTO ANTONIO DO ICA";1
"130380 SAO GABRIEL DA CACHOEIRA";1
"130406 TABATINGA";11
"Total";384
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
