Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"130002 ALVARAES";2
"130006 AMATURA";1
"130014 APUI";4
"130030 AUTAZES";8
"130050 BARREIRINHA";1
"130060 BENJAMIN CONSTANT";5
"130080 BORBA";3
"130120 COARI";5
"130140 EIRUNEPE";1
"130150 ENVIRA";2
"130160 FONTE BOA";2
"130170 HUMAITA";3
"130190 ITACOATIARA";5
"130240 LABREA";30
"130250 MANACAPURU";3
"130255 MANAQUIRI";11
"130260 MANAUS";436
"130270 MANICORE";2
"130290 MAUES";3
"130310 NOVA OLINDA DO NORTE";16
"130340 PARINTINS";6
"130356 RIO PRETO DA EVA";11
"130370 SANTO ANTONIO DO ICA";2
"130380 SAO GABRIEL DA CACHOEIRA";1
"130406 TABATINGA";15
"130420 TEFE";1
"Total";579
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
