Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"130014 APUI";13
"130020 ATALAIA DO NORTE";3
"130060 BENJAMIN CONSTANT";7
"130070 BOCA DO ACRE";1
"130080 BORBA";1
"130083 CAAPIRANGA";1
"130120 COARI";5
"130140 EIRUNEPE";1
"130150 ENVIRA";1
"130160 FONTE BOA";4
"130170 HUMAITA";4
"130185 IRANDUBA";2
"130190 ITACOATIARA";11
"130220 JURUA";12
"130240 LABREA";4
"130250 MANACAPURU";17
"130255 MANAQUIRI";38
"130260 MANAUS";707
"130270 MANICORE";1
"130290 MAUES";5
"130310 NOVA OLINDA DO NORTE";12
"130320 NOVO AIRAO";1
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";9
"130353 PRESIDENTE FIGUEIREDO";8
"130356 RIO PRETO DA EVA";18
"130370 SANTO ANTONIO DO ICA";2
"130400 SILVES";2
"130406 TABATINGA";4
"130420 TEFE";4
"Total";899
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
