Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"130002 ALVARAES";2
"130006 AMATURA";16
"130030 AUTAZES";1
"130050 BARREIRINHA";1
"130060 BENJAMIN CONSTANT";1
"130083 CAAPIRANGA";1
"130120 COARI";3
"130140 EIRUNEPE";1
"130150 ENVIRA";1
"130170 HUMAITA";4
"130185 IRANDUBA";2
"130190 ITACOATIARA";15
"130200 ITAPIRANGA";1
"130220 JURUA";11
"130240 LABREA";11
"130250 MANACAPURU";20
"130255 MANAQUIRI";3
"130260 MANAUS";554
"130270 MANICORE";1
"130290 MAUES";2
"130300 NHAMUNDA";2
"130310 NOVA OLINDA DO NORTE";39
"130320 NOVO AIRAO";1
"130340 PARINTINS";8
"130353 PRESIDENTE FIGUEIREDO";23
"130356 RIO PRETO DA EVA";4
"130360 SANTA ISABEL DO RIO NEGRO";1
"130370 SANTO ANTONIO DO ICA";5
"130380 SAO GABRIEL DA CACHOEIRA";3
"130400 SILVES";1
"130406 TABATINGA";8
"130420 TEFE";8
"Total";754
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
