Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"130006 AMATURA";5
"130030 AUTAZES";2
"130060 BENJAMIN CONSTANT";2
"130083 CAAPIRANGA";2
"130120 COARI";7
"130160 FONTE BOA";1
"130165 GUAJARA";1
"130190 ITACOATIARA";3
"130200 ITAPIRANGA";1
"130210 JAPURA";1
"130220 JURUA";7
"130250 MANACAPURU";32
"130255 MANAQUIRI";2
"130260 MANAUS";606
"130270 MANICORE";2
"130290 MAUES";1
"130310 NOVA OLINDA DO NORTE";22
"130340 PARINTINS";9
"130353 PRESIDENTE FIGUEIREDO";13
"130356 RIO PRETO DA EVA";4
"130380 SAO GABRIEL DA CACHOEIRA";1
"130406 TABATINGA";9
"130420 TEFE";51
"Total";784
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
