Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"130002 ALVARAES";1
"130030 AUTAZES";1
"130050 BARREIRINHA";5
"130060 BENJAMIN CONSTANT";4
"130080 BORBA";1
"130083 CAAPIRANGA";7
"130100 CARAUARI";1
"130120 COARI";1
"130140 EIRUNEPE";3
"130160 FONTE BOA";2
"130240 LABREA";10
"130250 MANACAPURU";17
"130260 MANAUS";473
"130290 MAUES";1
"130310 NOVA OLINDA DO NORTE";17
"130340 PARINTINS";13
"130353 PRESIDENTE FIGUEIREDO";3
"130356 RIO PRETO DA EVA";8
"130406 TABATINGA";5
"130420 TEFE";6
"Total";579
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
