Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"130006 AMATURA";4
"130030 AUTAZES";1
"130050 BARREIRINHA";2
"130060 BENJAMIN CONSTANT";2
"130063 BERURI";8
"130070 BOCA DO ACRE";14
"130080 BORBA";2
"130083 CAAPIRANGA";2
"130120 COARI";1
"130140 EIRUNEPE";2
"130165 GUAJARA";1
"130170 HUMAITA";5
"130185 IRANDUBA";16
"130190 ITACOATIARA";2
"130250 MANACAPURU";13
"130260 MANAUS";435
"130270 MANICORE";1
"130290 MAUES";1
"130310 NOVA OLINDA DO NORTE";5
"130320 NOVO AIRAO";1
"130330 NOVO ARIPUANA";7
"130340 PARINTINS";12
"130353 PRESIDENTE FIGUEIREDO";2
"130356 RIO PRETO DA EVA";5
"130370 SANTO ANTONIO DO ICA";1
"130380 SAO GABRIEL DA CACHOEIRA";8
"130420 TEFE";100
"Total";653
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
