Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"130010 ANORI";1
"130030 AUTAZES";1
"130060 BENJAMIN CONSTANT";4
"130063 BERURI";10
"130070 BOCA DO ACRE";2
"130080 BORBA";3
"130083 CAAPIRANGA";9
"130120 COARI";3
"130130 CODAJAS";1
"130140 EIRUNEPE";1
"130165 GUAJARA";1
"130170 HUMAITA";12
"130190 ITACOATIARA";2
"130200 ITAPIRANGA";4
"130240 LABREA";4
"130250 MANACAPURU";10
"130260 MANAUS";456
"130270 MANICORE";3
"130290 MAUES";2
"130310 NOVA OLINDA DO NORTE";33
"130330 NOVO ARIPUANA";4
"130340 PARINTINS";21
"130353 PRESIDENTE FIGUEIREDO";4
"130356 RIO PRETO DA EVA";14
"130360 SANTA ISABEL DO RIO NEGRO";1
"130380 SAO GABRIEL DA CACHOEIRA";3
"130400 SILVES";1
"130420 TEFE";20
"Total";630
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
