Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Amazonas
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"130006 AMATURA";4
"130010 ANORI";3
"130030 AUTAZES";1
"130060 BENJAMIN CONSTANT";4
"130063 BERURI";1
"130070 BOCA DO ACRE";4
"130120 COARI";1
"130140 EIRUNEPE";2
"130160 FONTE BOA";1
"130165 GUAJARA";2
"130170 HUMAITA";2
"130190 ITACOATIARA";1
"130200 ITAPIRANGA";3
"130240 LABREA";5
"130250 MANACAPURU";12
"130260 MANAUS";454
"130270 MANICORE";3
"130290 MAUES";8
"130310 NOVA OLINDA DO NORTE";1
"130320 NOVO AIRAO";1
"130340 PARINTINS";14
"130353 PRESIDENTE FIGUEIREDO";1
"130356 RIO PRETO DA EVA";13
"130360 SANTA ISABEL DO RIO NEGRO";1
"130380 SAO GABRIEL DA CACHOEIRA";1
"130406 TABATINGA";14
"130420 TEFE";15
"Total";572
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
