Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"290020 ABARE";8
"290030 ACAJUTIBA";3
"290035 ADUSTINA";1
"290040 AGUA FRIA";9
"290050 ERICO CARDOSO";1
"290070 ALAGOINHAS";6
"290080 ALCOBACA";2
"290090 ALMADINA";2
"290100 AMARGOSA";2
"290110 AMELIA RODRIGUES";10
"290120 ANAGE";1
"290135 ANDORINHA";2
"290140 ANGICAL";5
"290150 ANGUERA";1
"290160 ANTAS";1
"290180 ANTONIO GONCALVES";1
"290190 APORA";1
"290195 APUAREMA";2
"290205 ARACAS";8
"290210 ARACI";22
"290220 ARAMARI";5
"290270 BARRA";4
"290280 BARRA DA ESTIVA";1
"290290 BARRA DO CHOCA";51
"290310 BARRA DO ROCHA";1
"290320 BARREIRAS";7
"290323 BARRO ALTO";1
"290340 BELMONTE";1
"290350 BELO CAMPO";3
"290370 BOA NOVA";3
"290390 BOM JESUS DA LAPA";7
"290395 BOM JESUS DA SERRA";3
"290400 BONINAL";2
"290410 BOQUIRA";2
"290450 BROTAS DE MACAUBAS";10
"290460 BRUMADO";26
"290470 BUERAREMA";19
"290480 CAATIBA";2
"290485 CABACEIRAS DO PARAGUACU";14
"290500 CACULE";1
"290510 CAEM";1
"290520 CAETITE";10
"290530 CAFARNAUM";2
"290540 CAIRU";6
"290550 CALDEIRAO GRANDE";2
"290560 CAMACAN";33
"290570 CAMACARI";18
"290590 CAMPO ALEGRE DE LOURDES";10
"290600 CAMPO FORMOSO";2
"290620 CANARANA";14
"290630 CANAVIEIRAS";3
"290640 CANDEAL";7
"290650 CANDEIAS";4
"290685 CAPELA DO ALTO ALEGRE";1
"290687 CAPIM GROSSO";1
"290689 CARAIBAS";2
"290700 CARDEAL DA SILVA";1
"290710 CARINHANHA";2
"290720 CASA NOVA";7
"290730 CASTRO ALVES";6
"290750 CATU";2
"290770 CHORROCHO";1
"290800 COARACI";3
"290810 COCOS";21
"290820 CONCEICAO DA FEIRA";7
"290830 CONCEICAO DO ALMEIDA";4
"290870 CONDEUBA";2
"290880 CONTENDAS DO SINCORA";4
"290890 CORACAO DE MARIA";9
"290900 CORDEIROS";2
"290910 CORIBE";5
"290960 CRISOPOLIS";4
"290970 CRISTOPOLIS";2
"290980 CRUZ DAS ALMAS";1
"291000 DARIO MEIRA";8
"291010 DOM BASILIO";4
"291040 ENCRUZILHADA";3
"291050 ENTRE RIOS";8
"291060 ESPLANADA";1
"291070 EUCLIDES DA CUNHA";1
"291072 EUNAPOLIS";18
"291075 FATIMA";2
"291080 FEIRA DE SANTANA";70
"291085 FILADELFIA";6
"291100 FLORESTA AZUL";3
"291120 GANDU";9
"291125 GAVIAO";4
"291130 GENTIO DO OURO";1
"291160 GOVERNADOR MANGABEIRA";1
"291170 GUANAMBI";2
"291180 GUARATINGA";3
"291185 HELIOPOLIS";2
"291190 IACU";4
"291200 IBIASSUCE";1
"291210 IBICARAI";13
"291220 IBICOARA";2
"291250 IBIPITANGA";4
"291270 IBIRAPITANGA";3
"291300 IBITIARA";1
"291320 IBOTIRAMA";5
"291340 IGAPORA";3
"291350 IGUAI";3
"291360 ILHEUS";27
"291370 INHAMBUPE";21
"291380 IPECAETA";2
"291390 IPIAU";9
"291400 IPIRA";5
"291420 IRAJUBA";5
"291430 IRAMAIA";3
"291440 IRAQUARA";1
"291450 IRARA";1
"291465 ITABELA";3
"291470 ITABERABA";4
"291480 ITABUNA";13
"291490 ITACARE";3
"291520 ITAGIBA";2
"291530 ITAGIMIRIM";2
"291550 ITAJUIPE";11
"291560 ITAMARAJU";7
"291580 ITAMBE";2
"291600 ITANHEM";1
"291620 ITAPE";6
"291640 ITAPETINGA";2
"291650 ITAPICURU";5
"291690 ITIRUCU";1
"291700 ITIUBA";4
"291710 ITORORO";2
"291720 ITUACU";1
"291733 IUIU";1
"291735 JABORANDI";3
"291740 JACARACI";3
"291750 JACOBINA";14
"291760 JAGUAQUARA";2
"291770 JAGUARARI";5
"291790 JANDAIRA";14
"291800 JEQUIE";11
"291810 JEREMOABO";5
"291830 JITAUNA";10
"291840 JUAZEIRO";33
"291845 JUCURUCU";2
"291850 JUSSARA";1
"291860 JUSSIAPE";2
"291875 LAGOA REAL";1
"291880 LAJE";1
"291890 LAJEDAO";5
"291920 LAURO DE FREITAS";24
"291950 LIVRAMENTO DE NOSSA SENHORA";1
"291955 LUIS EDUARDO MAGALHAES";7
"291970 MACARANI";1
"291980 MACAUBAS";6
"291990 MACURURE";1
"291992 MADRE DE DEUS";2
"292020 MALHADA";3
"292040 MANOEL VITORINO";3
"292050 MARACAS";10
"292060 MARAGOGIPE";2
"292080 MARCIONILIO SOUZA";1
"292090 MASCOTE";1
"292100 MATA DE SAO JOAO";5
"292120 MIGUEL CALMON";2
