Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"290010 ABAIRA";1
"290020 ABARE";5
"290035 ADUSTINA";2
"290040 AGUA FRIA";1
"290050 ERICO CARDOSO";11
"290070 ALAGOINHAS";14
"290080 ALCOBACA";1
"290090 ALMADINA";2
"290100 AMARGOSA";3
"290120 ANAGE";3
"290130 ANDARAI";1
"290135 ANDORINHA";1
"290140 ANGICAL";4
"290150 ANGUERA";2
"290160 ANTAS";1
"290180 ANTONIO GONCALVES";2
"290190 APORA";2
"290195 APUAREMA";2
"290205 ARACAS";1
"290210 ARACI";9
"290220 ARAMARI";5
"290225 ARATACA";3
"290240 AURELINO LEAL";13
"290260 BAIXA GRANDE";3
"290280 BARRA DA ESTIVA";3
"290290 BARRA DO CHOCA";6
"290320 BARREIRAS";2
"290327 BARROCAS";1
"290350 BELO CAMPO";2
"290370 BOA NOVA";1
"290390 BOM JESUS DA LAPA";4
"290395 BOM JESUS DA SERRA";7
"290440 BREJOLANDIA";3
"290450 BROTAS DE MACAUBAS";11
"290460 BRUMADO";25
"290470 BUERAREMA";1
"290485 CABACEIRAS DO PARAGUACU";6
"290490 CACHOEIRA";1
"290500 CACULE";2
"290510 CAEM";3
"290520 CAETITE";4
"290530 CAFARNAUM";5
"290540 CAIRU";1
"290550 CALDEIRAO GRANDE";3
"290560 CAMACAN";4
"290570 CAMACARI";6
"290580 CAMAMU";3
"290590 CAMPO ALEGRE DE LOURDES";2
"290600 CAMPO FORMOSO";5
"290610 CANAPOLIS";6
"290620 CANARANA";7
"290630 CANAVIEIRAS";2
"290650 CANDEIAS";9
"290670 CANDIDO SALES";1
"290682 CANUDOS";2
"290685 CAPELA DO ALTO ALEGRE";1
"290689 CARAIBAS";3
"290700 CARDEAL DA SILVA";2
"290710 CARINHANHA";6
"290720 CASA NOVA";1
"290730 CASTRO ALVES";3
"290750 CATU";6
"290760 CENTRAL";4
"290780 CICERO DANTAS";1
"290800 COARACI";2
"290810 COCOS";17
"290820 CONCEICAO DA FEIRA";1
"290830 CONCEICAO DO ALMEIDA";3
"290840 CONCEICAO DO COITE";1
"290890 CORACAO DE MARIA";2
"290910 CORIBE";3
"290920 CORONEL JOAO SA";1
"290930 CORRENTINA";5
"290960 CRISOPOLIS";1
"290970 CRISTOPOLIS";1
"290980 CRUZ DAS ALMAS";6
"291000 DARIO MEIRA";3
"291005 DIAS D'AVILA";1
"291010 DOM BASILIO";2
"291020 DOM MACEDO COSTA";3
"291040 ENCRUZILHADA";11
"291050 ENTRE RIOS";17
"291060 ESPLANADA";6
"291070 EUCLIDES DA CUNHA";2
"291072 EUNAPOLIS";4
"291075 FATIMA";4
