Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"290010 ABAIRA";33
"290035 ADUSTINA";4
"290040 AGUA FRIA";7
"290050 ERICO CARDOSO";5
"290070 ALAGOINHAS";14
"290080 ALCOBACA";3
"290100 AMARGOSA";1
"290110 AMELIA RODRIGUES";10
"290120 ANAGE";3
"290130 ANDARAI";3
"290135 ANDORINHA";1
"290150 ANGUERA";3
"290160 ANTAS";1
"290180 ANTONIO GONCALVES";3
"290190 APORA";10
"290200 ARACATU";1
"290210 ARACI";13
"290220 ARAMARI";1
"290225 ARATACA";1
"290240 AURELINO LEAL";2
"290265 BANZAE";1
"290270 BARRA";1
"290280 BARRA DA ESTIVA";5
"290290 BARRA DO CHOCA";10
"290320 BARREIRAS";11
"290327 BARROCAS";1
"290370 BOA NOVA";2
"290390 BOM JESUS DA LAPA";6
"290430 BREJOES";2
"290440 BREJOLANDIA";3
"290450 BROTAS DE MACAUBAS";1
"290460 BRUMADO";33
"290470 BUERAREMA";4
"290485 CABACEIRAS DO PARAGUACU";5
"290490 CACHOEIRA";35
"290510 CAEM";7
"290520 CAETITE";3
"290530 CAFARNAUM";2
"290540 CAIRU";4
"290550 CALDEIRAO GRANDE";6
"290560 CAMACAN";2
"290570 CAMACARI";11
"290580 CAMAMU";2
"290600 CAMPO FORMOSO";5
"290610 CANAPOLIS";4
"290620 CANARANA";4
"290630 CANAVIEIRAS";3
"290640 CANDEAL";2
"290650 CANDEIAS";9
"290685 CAPELA DO ALTO ALEGRE";1
"290687 CAPIM GROSSO";6
"290689 CARAIBAS";15
"290700 CARDEAL DA SILVA";7
"290710 CARINHANHA";4
"290730 CASTRO ALVES";69
"290750 CATU";5
"290760 CENTRAL";1
"290780 CICERO DANTAS";4
"290790 CIPO";6
"290800 COARACI";5
"290810 COCOS";1
"290820 CONCEICAO DA FEIRA";2
"290830 CONCEICAO DO ALMEIDA";1
"290840 CONCEICAO DO COITE";1
"290870 CONDEUBA";2
"290890 CORACAO DE MARIA";2
"290920 CORONEL JOAO SA";1
"290960 CRISOPOLIS";2
"290980 CRUZ DAS ALMAS";4
"291000 DARIO MEIRA";1
"291005 DIAS D'AVILA";4
"291020 DOM MACEDO COSTA";1
"291040 ENCRUZILHADA";1
"291050 ENTRE RIOS";6
"291060 ESPLANADA";6
"291070 EUCLIDES DA CUNHA";5
"291072 EUNAPOLIS";6
"291075 FATIMA";4
"291080 FEIRA DE SANTANA";106
"291085 FILADELFIA";11
"291090 FIRMINO ALVES";1
"291100 FLORESTA AZUL";2
"291120 GANDU";5
"291160 GOVERNADOR MANGABEIRA";2
"291165 GUAJERU";4
"291170 GUANAMBI";6
"291180 GUARATINGA";1
"291190 IACU";19
"291200 IBIASSUCE";1
"291210 IBICARAI";8
"291240 IBIPEBA";14
"291270 IBIRAPITANGA";1
"291280 IBIRAPUA";6
"291300 IBITIARA";3
"291340 IGAPORA";4
"291345 IGRAPIUNA";2
"291360 ILHEUS";10
"291370 INHAMBUPE";8
"291390 IPIAU";13
"291400 IPIRA";7
"291420 IRAJUBA";2
"291450 IRARA";3
"291465 ITABELA";3
"291470 ITABERABA";5
"291480 ITABUNA";14
"291490 ITACARE";17
"291510 ITAGI";4
"291520 ITAGIBA";6
"291550 ITAJUIPE";2
"291560 ITAMARAJU";14
"291600 ITANHEM";4
"291610 ITAPARICA";1
"291630 ITAPEBI";4
"291650 ITAPICURU";5
"291660 ITAPITANGA";2
"291690 ITIRUCU";2
"291700 ITIUBA";4
"291710 ITORORO";7
"291730 ITUBERA";1
"291740 JACARACI";3
"291750 JACOBINA";14
"291760 JAGUAQUARA";5
"291770 JAGUARARI";3
"291800 JEQUIE";34
"291820 JIQUIRICA";2
"291830 JITAUNA";6
"291840 JUAZEIRO";33
"291860 JUSSIAPE";11
"291880 LAJE";4
"291890 LAJEDAO";3
"291920 LAURO DE FREITAS";6
"291930 LENCOIS";4
"291950 LIVRAMENTO DE NOSSA SENHORA";7
"291955 LUIS EDUARDO MAGALHAES";14
"291970 MACARANI";2
"291980 MACAUBAS";2
"292010 MAIRI";1
"292050 MARACAS";3
"292070 MARAU";1
"292090 MASCOTE";1
"292100 MATA DE SAO JOAO";2
"292105 MATINA";1
"292120 MIGUEL CALMON";7
"292140 MIRANGABA";6
"292150 MONTE SANTO";3
"292160 MORPARA";1
"292170 MORRO DO CHAPEU";2
"292180 MORTUGABA";5
"292190 MUCUGE";4
"292200 MUCURI";7
"292205 MULUNGU DO MORRO";1
"292210 MUNDO NOVO";6
"292230 MURITIBA";2
"292240 MUTUIPE";7
"292250 NAZARE";2
"292265 NORDESTINA";1
"292270 NOVA CANAA";1
"292275 NOVA IBIA";1
"292290 NOVA SOURE";6
"292300 NOVA VICOSA";16
"292335 OUROLANDIA";11
"292360 PARAMIRIM";3
"292370 PARATINGA";1
"292380 PARIPIRANGA";3
"292400 PAULO AFONSO";22
"292405 PE DE SERRA";9
"292410 PEDRAO";2
"292460 PINDOBACU";4
"292467 PIRAI DO NORTE";1
"292470 PIRIPA";2
"292480 PIRITIBA";1
"292490 PLANALTINO";2
"292510 POCOES";8
"292520 POJUCA";10
"292525 PONTO NOVO";1
"292530 PORTO SEGURO";3
"292575 PRESIDENTE TANCREDO NEVES";6
"292580 QUEIMADAS";4
"292590 QUIJINGUE";38
"292593 QUIXABEIRA";7
"292595 RAFAEL JAMBEIRO";6
"292600 REMANSO";2
"292620 RIACHAO DAS NEVES";3
"292630 RIACHAO DO JACUIPE";2
"292660 RIBEIRA DO POMBAL";3
"292665 RIBEIRAO DO LARGO";2
"292670 RIO DE CONTAS";2
"292700 RIO REAL";11
"292710 RODELAS";6
"292740 SALVADOR";117
"292750 SANTA BARBARA";22
"292770 SANTA CRUZ CABRALIA";7
"292780 SANTA CRUZ DA VITORIA";2
"292800 SANTALUZ";1
"292810 SANTA MARIA DA VITORIA";9
"292820 SANTANA";5
"292840 SANTA RITA DE CASSIA";25
"292850 SANTA TERESINHA";1
"292860 SANTO AMARO";6
"292870 SANTO ANTONIO DE JESUS";8
"292880 SANTO ESTEVAO";4
"292890 SAO DESIDERIO";2
"292895 SAO DOMINGOS";3
"292905 SAO FELIX DO CORIBE";2
"292920 SAO FRANCISCO DO CONDE";4
"292930 SAO GONCALO DOS CAMPOS";4
"292940 SAO MIGUEL DAS MATAS";11
"292950 SAO SEBASTIAO DO PASSE";7
"292970 SATIRO DIAS";3
"292980 SAUDE";2
"292990 SEABRA";1
"293010 SENHOR DO BONFIM";6
"293050 SERRINHA";14
"293060 SERROLANDIA";11
"293070 SIMOES FILHO";20
"293076 SITIO DO QUINTO";2
"293077 SOBRADINHO";3
"293080 SOUTO SOARES";7
"293090 TABOCAS DO BREJO VELHO";1
"293100 TANHACU";3
"293130 TAPIRAMUTA";1
"293135 TEIXEIRA DE FREITAS";19
"293150 TEOFILANDIA";2
"293160 TEOLANDIA";2
"293170 TERRA NOVA";2
"293180 TREMEDAL";7
"293190 TUCANO";6
"293200 UAUA";4
"293210 UBAIRA";5
"293240 UIBAI";1
"293245 UMBURANAS";3
"293250 UNA";6
"293260 URANDI";1
"293270 URUCUCA";2
"293280 UTINGA";2
"293290 VALENCA";10
"293300 VALENTE";1
"293305 VARZEA DA ROCA";1
"293310 VARZEA DO POCO";4
"293315 VARZEA NOVA";5
"293330 VITORIA DA CONQUISTA";3
"293345 WANDERLEY";7
"293350 WENCESLAU GUIMARAES";8
"293360 XIQUE-XIQUE";6
"Total";1646
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
