Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"290010 ABAIRA";10
"290020 ABARE";1
"290035 ADUSTINA";2
"290040 AGUA FRIA";1
"290050 ERICO CARDOSO";2
"290070 ALAGOINHAS";8
"290080 ALCOBACA";1
"290090 ALMADINA";1
"290100 AMARGOSA";2
"290110 AMELIA RODRIGUES";1
"290120 ANAGE";1
"290130 ANDARAI";2
"290140 ANGICAL";3
"290150 ANGUERA";2
"290160 ANTAS";1
"290190 APORA";9
"290195 APUAREMA";2
"290200 ARACATU";1
"290205 ARACAS";3
"290210 ARACI";5
"290220 ARAMARI";4
"290225 ARATACA";1
"290240 AURELINO LEAL";3
"290260 BAIXA GRANDE";1
"290270 BARRA";10
"290280 BARRA DA ESTIVA";1
"290290 BARRA DO CHOCA";23
"290310 BARRA DO ROCHA";2
"290320 BARREIRAS";7
"290340 BELMONTE";1
"290350 BELO CAMPO";2
"290390 BOM JESUS DA LAPA";2
"290395 BOM JESUS DA SERRA";2
"290400 BONINAL";5
"290460 BRUMADO";7
"290470 BUERAREMA";9
"290490 CACHOEIRA";65
"290500 CACULE";2
"290510 CAEM";7
"290520 CAETITE";14
"290530 CAFARNAUM";1
"290540 CAIRU";4
"290560 CAMACAN";2
"290570 CAMACARI";9
"290580 CAMAMU";4
"290600 CAMPO FORMOSO";4
"290610 CANAPOLIS";1
"290620 CANARANA";1
"290630 CANAVIEIRAS";2
"290640 CANDEAL";1
"290650 CANDEIAS";4
"290685 CAPELA DO ALTO ALEGRE";1
"290687 CAPIM GROSSO";3
"290689 CARAIBAS";4
"290700 CARDEAL DA SILVA";1
"290730 CASTRO ALVES";4
"290750 CATU";5
"290790 CIPO";1
"290800 COARACI";3
"290810 COCOS";10
"290840 CONCEICAO DO COITE";1
"290880 CONTENDAS DO SINCORA";1
"290890 CORACAO DE MARIA";2
"290910 CORIBE";2
"290920 CORONEL JOAO SA";1
"290930 CORRENTINA";1
"290980 CRUZ DAS ALMAS";3
"291005 DIAS D'AVILA";4
"291020 DOM MACEDO COSTA";1
"291040 ENCRUZILHADA";4
"291050 ENTRE RIOS";9
"291060 ESPLANADA";4
"291070 EUCLIDES DA CUNHA";2
"291072 EUNAPOLIS";2
"291075 FATIMA";1
"291077 FEIRA DA MATA";1
"291080 FEIRA DE SANTANA";97
"291085 FILADELFIA";4
"291120 GANDU";4
"291165 GUAJERU";1
"291170 GUANAMBI";3
"291180 GUARATINGA";1
"291185 HELIOPOLIS";2
"291190 IACU";6
"291210 IBICARAI";1
"291240 IBIPEBA";3
"291290 IBIRATAIA";5
"291300 IBITIARA";1
"291350 IGUAI";1
"291360 ILHEUS";6
"291390 IPIAU";1
"291400 IPIRA";5
"291450 IRARA";2
"291465 ITABELA";3
"291470 ITABERABA";4
"291480 ITABUNA";12
"291490 ITACARE";5
"291510 ITAGI";7
"291520 ITAGIBA";8
"291550 ITAJUIPE";2
"291560 ITAMARAJU";2
"291600 ITANHEM";8
"291610 ITAPARICA";1
"291620 ITAPE";1
"291630 ITAPEBI";1
"291640 ITAPETINGA";2
"291700 ITIUBA";1
"291710 ITORORO";2
"291730 ITUBERA";2
"291750 JACOBINA";8
"291760 JAGUAQUARA";3
"291770 JAGUARARI";6
"291800 JEQUIE";22
"291830 JITAUNA";3
"291840 JUAZEIRO";18
"291845 JUCURUCU";4
"291860 JUSSIAPE";6
"291890 LAJEDAO";4
"291920 LAURO DE FREITAS";4
"291930 LENCOIS";1
"291950 LIVRAMENTO DE NOSSA SENHORA";3
"291955 LUIS EDUARDO MAGALHAES";9
"291980 MACAUBAS";1
"291992 MADRE DE DEUS";1
"292010 MAIRI";1
"292020 MALHADA";1
"292060 MARAGOGIPE";13
"292090 MASCOTE";2
"292100 MATA DE SAO JOAO";3
"292105 MATINA";1
"292130 MILAGRES";1
"292150 MONTE SANTO";4
"292170 MORRO DO CHAPEU";3
"292180 MORTUGABA";6
"292190 MUCUGE";6
"292220 MUNIZ FERREIRA";2
"292240 MUTUIPE";4
"292250 NAZARE";2
"292270 NOVA CANAA";1
"292275 NOVA IBIA";1
"292290 NOVA SOURE";5
"292300 NOVA VICOSA";1
"292303 NOVO HORIZONTE";1
"292305 NOVO TRIUNFO";1
"292335 OUROLANDIA";2
"292360 PARAMIRIM";3
"292380 PARIPIRANGA";8
"292390 PAU BRASIL";3
"292400 PAULO AFONSO";18
"292405 PE DE SERRA";2
"292440 PILAO ARCADO";1
"292460 PINDOBACU";2
"292480 PIRITIBA";1
"292490 PLANALTINO";1
"292510 POCOES";5
"292520 POJUCA";3
"292525 PONTO NOVO";1
"292530 PORTO SEGURO";3
"292540 POTIRAGUA";1
"292560 PRESIDENTE DUTRA";1
"292575 PRESIDENTE TANCREDO NEVES";4
"292580 QUEIMADAS";5
"292590 QUIJINGUE";1
"292593 QUIXABEIRA";2
"292595 RAFAEL JAMBEIRO";6
"292600 REMANSO";4
"292620 RIACHAO DAS NEVES";3
"292630 RIACHAO DO JACUIPE";2
"292650 RIBEIRA DO AMPARO";1
"292660 RIBEIRA DO POMBAL";3
"292665 RIBEIRAO DO LARGO";2
"292670 RIO DE CONTAS";2
"292700 RIO REAL";2
"292720 RUY BARBOSA";3
"292730 SALINAS DA MARGARIDA";1
"292740 SALVADOR";74
"292750 SANTA BARBARA";6
"292770 SANTA CRUZ CABRALIA";2
"292780 SANTA CRUZ DA VITORIA";1
"292810 SANTA MARIA DA VITORIA";10
"292820 SANTANA";3
"292840 SANTA RITA DE CASSIA";27
"292850 SANTA TERESINHA";2
"292860 SANTO AMARO";4
"292870 SANTO ANTONIO DE JESUS";6
"292880 SANTO ESTEVAO";4
"292890 SAO DESIDERIO";4
"292895 SAO DOMINGOS";2
"292905 SAO FELIX DO CORIBE";1
"292920 SAO FRANCISCO DO CONDE";16
"292930 SAO GONCALO DOS CAMPOS";2
"292935 SAO JOSE DA VITORIA";1
"292940 SAO MIGUEL DAS MATAS";8
"292950 SAO SEBASTIAO DO PASSE";2
"292970 SATIRO DIAS";7
"293010 SENHOR DO BONFIM";7
"293050 SERRINHA";5
"293070 SIMOES FILHO";1
"293076 SITIO DO QUINTO";1
"293077 SOBRADINHO";3
"293080 SOUTO SOARES";3
"293100 TANHACU";5
"293130 TAPIRAMUTA";1
"293135 TEIXEIRA DE FREITAS";11
"293140 TEODORO SAMPAIO";1
"293190 TUCANO";2
"293200 UAUA";1
"293210 UBAIRA";2
"293240 UIBAI";2
"293245 UMBURANAS";3
"293250 UNA";1
"293270 URUCUCA";2
"293280 UTINGA";1
"293290 VALENCA";6
"293305 VARZEA DA ROCA";2
"293310 VARZEA DO POCO";2
"293315 VARZEA NOVA";2
"293320 VERA CRUZ";3
"293350 WENCESLAU GUIMARAES";3
"293360 XIQUE-XIQUE";4
"Total";1038
