Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"290020 ABARE";6
"290030 ACAJUTIBA";2
"290040 AGUA FRIA";9
"290050 ERICO CARDOSO";3
"290070 ALAGOINHAS";1
"290080 ALCOBACA";2
"290100 AMARGOSA";2
"290110 AMELIA RODRIGUES";10
"290130 ANDARAI";4
"290135 ANDORINHA";1
"290140 ANGICAL";3
"290150 ANGUERA";13
"290180 ANTONIO GONCALVES";2
"290190 APORA";1
"290200 ARACATU";1
"290205 ARACAS";3
"290210 ARACI";10
"290220 ARAMARI";1
"290240 AURELINO LEAL";7
"290270 BARRA";8
"290280 BARRA DA ESTIVA";3
"290290 BARRA DO CHOCA";35
"290310 BARRA DO ROCHA";1
"290320 BARREIRAS";6
"290340 BELMONTE";2
"290350 BELO CAMPO";1
"290370 BOA NOVA";1
"290390 BOM JESUS DA LAPA";13
"290410 BOQUIRA";5
"290450 BROTAS DE MACAUBAS";3
"290460 BRUMADO";14
"290470 BUERAREMA";34
"290485 CABACEIRAS DO PARAGUACU";12
"290490 CACHOEIRA";1
"290515 CAETANOS";1
"290520 CAETITE";8
"290530 CAFARNAUM";2
"290550 CALDEIRAO GRANDE";18
"290560 CAMACAN";14
"290570 CAMACARI";11
"290580 CAMAMU";1
"290590 CAMPO ALEGRE DE LOURDES";1
"290600 CAMPO FORMOSO";1
"290610 CANAPOLIS";1
"290620 CANARANA";13
"290630 CANAVIEIRAS";2
"290640 CANDEAL";1
"290685 CAPELA DO ALTO ALEGRE";1
"290687 CAPIM GROSSO";1
"290689 CARAIBAS";2
"290710 CARINHANHA";3
"290720 CASA NOVA";7
"290730 CASTRO ALVES";2
"290750 CATU";6
"290780 CICERO DANTAS";1
"290790 CIPO";2
"290800 COARACI";2
"290810 COCOS";9
"290820 CONCEICAO DA FEIRA";3
"290840 CONCEICAO DO COITE";3
"290870 CONDEUBA";2
"290880 CONTENDAS DO SINCORA";2
"290890 CORACAO DE MARIA";6
"290900 CORDEIROS";1
"290910 CORIBE";4
"290920 CORONEL JOAO SA";3
