Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"290020 ABARE";5
"290030 ACAJUTIBA";2
"290040 AGUA FRIA";3
"290050 ERICO CARDOSO";1
"290070 ALAGOINHAS";4
"290080 ALCOBACA";1
"290090 ALMADINA";2
"290100 AMARGOSA";11
"290110 AMELIA RODRIGUES";20
"290120 ANAGE";1
"290130 ANDARAI";1
"290135 ANDORINHA";4
"290140 ANGICAL";1
"290150 ANGUERA";18
"290160 ANTAS";3
"290180 ANTONIO GONCALVES";1
"290190 APORA";1
"290200 ARACATU";2
"290210 ARACI";33
"290220 ARAMARI";5
"290225 ARATACA";2
"290240 AURELINO LEAL";9
"290260 BAIXA GRANDE";3
"290270 BARRA";3
"290280 BARRA DA ESTIVA";9
"290310 BARRA DO ROCHA";2
"290320 BARREIRAS";5
"290327 BARROCAS";1
"290340 BELMONTE";3
"290350 BELO CAMPO";3
"290370 BOA NOVA";1
"290390 BOM JESUS DA LAPA";17
"290395 BOM JESUS DA SERRA";3
"290430 BREJOES";1
"290440 BREJOLANDIA";1
"290450 BROTAS DE MACAUBAS";5
"290460 BRUMADO";23
"290470 BUERAREMA";19
"290485 CABACEIRAS DO PARAGUACU";28
"290490 CACHOEIRA";1
"290510 CAEM";2
"290520 CAETITE";13
"290530 CAFARNAUM";3
"290540 CAIRU";4
"290550 CALDEIRAO GRANDE";2
"290560 CAMACAN";55
"290570 CAMACARI";31
"290580 CAMAMU";4
"290590 CAMPO ALEGRE DE LOURDES";5
"290620 CANARANA";7
"290630 CANAVIEIRAS";12
"290650 CANDEIAS";6
"290682 CANUDOS";1
"290687 CAPIM GROSSO";1
"290689 CARAIBAS";4
"290700 CARDEAL DA SILVA";1
"290710 CARINHANHA";1
"290720 CASA NOVA";12
"290730 CASTRO ALVES";9
"290750 CATU";11
"290770 CHORROCHO";2
"290780 CICERO DANTAS";1
"290790 CIPO";3
"290800 COARACI";11
"290810 COCOS";14
"290830 CONCEICAO DO ALMEIDA";2
"290840 CONCEICAO DO COITE";1
"290870 CONDEUBA";2
"290890 CORACAO DE MARIA";3
"290900 CORDEIROS";4
"290910 CORIBE";2
"290920 CORONEL JOAO SA";2
"290930 CORRENTINA";31
"290970 CRISTOPOLIS";1
"290980 CRUZ DAS ALMAS";7
"291000 DARIO MEIRA";6
"291005 DIAS D'AVILA";4
"291010 DOM BASILIO";5
"291020 DOM MACEDO COSTA";2
"291040 ENCRUZILHADA";1
"291050 ENTRE RIOS";7
"291060 ESPLANADA";9
"291070 EUCLIDES DA CUNHA";31
"291072 EUNAPOLIS";8
"291075 FATIMA";5
"291080 FEIRA DE SANTANA";47
"291085 FILADELFIA";6
"291100 FLORESTA AZUL";4
"291120 GANDU";6
"291125 GAVIAO";3
"291160 GOVERNADOR MANGABEIRA";1
"291170 GUANAMBI";8
"291180 GUARATINGA";2
"291185 HELIOPOLIS";21
"291190 IACU";5
"291200 IBIASSUCE";1
"291210 IBICARAI";2
"291220 IBICOARA";7
"291270 IBIRAPITANGA";8
"291290 IBIRATAIA";6
"291320 IBOTIRAMA";3
"291345 IGRAPIUNA";3
"291350 IGUAI";3
"291360 ILHEUS";34
"291370 INHAMBUPE";1
"291380 IPECAETA";21
"291390 IPIAU";8
"291400 IPIRA";10
"291430 IRAMAIA";1
"291450 IRARA";8
"291460 IRECE";4
"291465 ITABELA";5
"291470 ITABERABA";6
"291480 ITABUNA";22
"291490 ITACARE";5
"291530 ITAGIMIRIM";2
"291550 ITAJUIPE";4
"291560 ITAMARAJU";18
"291580 ITAMBE";2
"291600 ITANHEM";1
"291610 ITAPARICA";2
