Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"290010 ABAIRA";9
"290020 ABARE";6
"290030 ACAJUTIBA";13
"290040 AGUA FRIA";5
"290070 ALAGOINHAS";26
"290090 ALMADINA";2
"290110 AMELIA RODRIGUES";6
"290120 ANAGE";1
"290130 ANDARAI";1
"290135 ANDORINHA";2
"290150 ANGUERA";5
"290160 ANTAS";1
"290180 ANTONIO GONCALVES";1
"290190 APORA";1
"290200 ARACATU";3
"290205 ARACAS";2
"290210 ARACI";17
"290220 ARAMARI";7
"290240 AURELINO LEAL";11
"290260 BAIXA GRANDE";1
"290290 BARRA DO CHOCA";1
"290320 BARREIRAS";4
"290323 BARRO ALTO";1
"290327 BARROCAS";2
"290340 BELMONTE";2
"290350 BELO CAMPO";3
"290390 BOM JESUS DA LAPA";4
"290395 BOM JESUS DA SERRA";1
"290400 BONINAL";1
"290410 BOQUIRA";4
"290430 BREJOES";1
"290450 BROTAS DE MACAUBAS";3
"290460 BRUMADO";15
"290470 BUERAREMA";24
"290485 CABACEIRAS DO PARAGUACU";4
"290490 CACHOEIRA";12
"290500 CACULE";3
"290510 CAEM";1
"290520 CAETITE";18
"290530 CAFARNAUM";5
"290540 CAIRU";8
"290550 CALDEIRAO GRANDE";2
"290560 CAMACAN";5
"290570 CAMACARI";21
"290580 CAMAMU";1
"290590 CAMPO ALEGRE DE LOURDES";5
"290610 CANAPOLIS";1
"290630 CANAVIEIRAS";3
"290650 CANDEIAS";1
"290685 CAPELA DO ALTO ALEGRE";1
"290689 CARAIBAS";3
"290720 CASA NOVA";5
"290730 CASTRO ALVES";5
"290750 CATU";5
"290760 CENTRAL";4
"290770 CHORROCHO";1
"290780 CICERO DANTAS";6
"290790 CIPO";1
"290800 COARACI";3
"290810 COCOS";3
"290830 CONCEICAO DO ALMEIDA";2
"290870 CONDEUBA";4
"290880 CONTENDAS DO SINCORA";1
"290890 CORACAO DE MARIA";2
"290900 CORDEIROS";2
"290910 CORIBE";5
"290920 CORONEL JOAO SA";1
"290930 CORRENTINA";17
"290980 CRUZ DAS ALMAS";2
"291000 DARIO MEIRA";4
"291005 DIAS D'AVILA";2
"291010 DOM BASILIO";4
"291050 ENTRE RIOS";2
"291060 ESPLANADA";3
"291070 EUCLIDES DA CUNHA";11
"291072 EUNAPOLIS";13
"291075 FATIMA";4
"291080 FEIRA DE SANTANA";39
"291100 FLORESTA AZUL";9
"291120 GANDU";8
"291125 GAVIAO";1
"291150 GONGOGI";2
"291160 GOVERNADOR MANGABEIRA";2
"291170 GUANAMBI";10
"291180 GUARATINGA";2
"291185 HELIOPOLIS";1
"291190 IACU";5
"291200 IBIASSUCE";2
"291210 IBICARAI";8
"291220 IBICOARA";6
"291240 IBIPEBA";1
"291250 IBIPITANGA";1
"291270 IBIRAPITANGA";11
"291340 IGAPORA";1
"291345 IGRAPIUNA";1
"291350 IGUAI";1
"291360 ILHEUS";36
"291370 INHAMBUPE";2
"291380 IPECAETA";1
"291390 IPIAU";24
"291400 IPIRA";4
"291430 IRAMAIA";3
"291440 IRAQUARA";1
"291450 IRARA";6
"291460 IRECE";3
"291465 ITABELA";4
"291470 ITABERABA";14
"291480 ITABUNA";6
"291490 ITACARE";6
"291550 ITAJUIPE";3
"291560 ITAMARAJU";5
"291580 ITAMBE";2
"291600 ITANHEM";4
"291610 ITAPARICA";3
"291640 ITAPETINGA";5
"291650 ITAPICURU";3
"291685 ITATIM";1
"291690 ITIRUCU";5
"291700 ITIUBA";1
"291710 ITORORO";1
"291720 ITUACU";2
"291730 ITUBERA";2
"291750 JACOBINA";8
"291760 JAGUAQUARA";5
"291770 JAGUARARI";3
"291790 JANDAIRA";2
"291800 JEQUIE";14
"291810 JEREMOABO";7
"291820 JIQUIRICA";2
"291835 JOAO DOURADO";1
"291840 JUAZEIRO";35
"291845 JUCURUCU";2
"291850 JUSSARA";3
"291875 LAGOA REAL";1
"291880 LAJE";5
"291890 LAJEDAO";2
"291920 LAURO DE FREITAS";3
"291950 LIVRAMENTO DE NOSSA SENHORA";2
"291955 LUIS EDUARDO MAGALHAES";5
"291960 MACAJUBA";4
"291970 MACARANI";2
"291980 MACAUBAS";1
"291992 MADRE DE DEUS";2
"291995 MAETINGA";1
"292010 MAIRI";3
"292050 MARACAS";4
"292060 MARAGOGIPE";1
"292080 MARCIONILIO SOUZA";1
"292090 MASCOTE";2
"292100 MATA DE SAO JOAO";1
"292120 MIGUEL CALMON";1
"292130 MILAGRES";9
"292140 MIRANGABA";2
"292150 MONTE SANTO";6
"292160 MORPARA";3
"292170 MORRO DO CHAPEU";2
"292180 MORTUGABA";5
"292190 MUCUGE";2
"292210 MUNDO NOVO";2
"292220 MUNIZ FERREIRA";2
"292230 MURITIBA";6
"292240 MUTUIPE";5
"292250 NAZARE";3
"292260 NILO PECANHA";2
"292270 NOVA CANAA";1
"292275 NOVA IBIA";2
"292280 NOVA ITARANA";1
"292290 NOVA SOURE";1
"292300 NOVA VICOSA";14
"292303 NOVO HORIZONTE";4
"292305 NOVO TRIUNFO";1
"292310 OLINDINA";2
"292335 OUROLANDIA";5
"292350 PALMEIRAS";7
"292360 PARAMIRIM";1
"292380 PARIPIRANGA";24
