Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"290010 ABAIRA";6
"290020 ABARE";3
"290030 ACAJUTIBA";8
"290035 ADUSTINA";1
"290040 AGUA FRIA";2
"290070 ALAGOINHAS";2
"290080 ALCOBACA";4
"290090 ALMADINA";2
"290100 AMARGOSA";7
"290110 AMELIA RODRIGUES";6
"290120 ANAGE";2
"290130 ANDARAI";1
"290135 ANDORINHA";7
"290150 ANGUERA";4
"290160 ANTAS";1
"290180 ANTONIO GONCALVES";7
"290200 ARACATU";1
"290210 ARACI";31
"290220 ARAMARI";4
"290240 AURELINO LEAL";5
"290260 BAIXA GRANDE";1
"290270 BARRA";2
"290280 BARRA DA ESTIVA";3
"290290 BARRA DO CHOCA";1
"290320 BARREIRAS";6
"290323 BARRO ALTO";1
"290327 BARROCAS";1
"290340 BELMONTE";1
"290350 BELO CAMPO";1
"290370 BOA NOVA";1
"290395 BOM JESUS DA SERRA";2
"290410 BOQUIRA";2
"290430 BREJOES";3
"290460 BRUMADO";19
"290470 BUERAREMA";11
"290485 CABACEIRAS DO PARAGUACU";6
"290490 CACHOEIRA";2
"290500 CACULE";12
"290520 CAETITE";7
"290530 CAFARNAUM";3
"290540 CAIRU";19
"290550 CALDEIRAO GRANDE";1
"290560 CAMACAN";16
"290570 CAMACARI";18
"290580 CAMAMU";4
"290590 CAMPO ALEGRE DE LOURDES";7
"290600 CAMPO FORMOSO";3
"290610 CANAPOLIS";2
"290620 CANARANA";10
"290630 CANAVIEIRAS";5
"290682 CANUDOS";2
"290689 CARAIBAS";3
"290730 CASTRO ALVES";1
"290750 CATU";8
"290760 CENTRAL";3
"290770 CHORROCHO";1
"290780 CICERO DANTAS";2
"290790 CIPO";1
"290800 COARACI";11
"290810 COCOS";11
"290820 CONCEICAO DA FEIRA";2
"290830 CONCEICAO DO ALMEIDA";2
"290840 CONCEICAO DO COITE";4
"290870 CONDEUBA";1
"290890 CORACAO DE MARIA";1
"290900 CORDEIROS";4
"290910 CORIBE";2
"290930 CORRENTINA";14
"290970 CRISTOPOLIS";2
"290980 CRUZ DAS ALMAS";7
"291000 DARIO MEIRA";3
"291005 DIAS D'AVILA";2
"291010 DOM BASILIO";2
"291020 DOM MACEDO COSTA";2
"291050 ENTRE RIOS";4
"291060 ESPLANADA";6
"291070 EUCLIDES DA CUNHA";7
"291072 EUNAPOLIS";8
"291075 FATIMA";2
"291080 FEIRA DE SANTANA";41
"291085 FILADELFIA";9
"291100 FLORESTA AZUL";2
"291120 GANDU";10
"291160 GOVERNADOR MANGABEIRA";1
"291165 GUAJERU";1
"291170 GUANAMBI";9
"291180 GUARATINGA";3
"291185 HELIOPOLIS";18
"291190 IACU";3
"291200 IBIASSUCE";1
"291210 IBICARAI";7
"291220 IBICOARA";2
"291240 IBIPEBA";1
"291270 IBIRAPITANGA";6
"291280 IBIRAPUA";5
"291340 IGAPORA";2
"291345 IGRAPIUNA";1
"291350 IGUAI";8
"291360 ILHEUS";24
"291370 INHAMBUPE";4
"291380 IPECAETA";1
"291390 IPIAU";4
"291400 IPIRA";15
"291430 IRAMAIA";2
"291450 IRARA";5
"291460 IRECE";3
"291465 ITABELA";1
"291470 ITABERABA";1
"291480 ITABUNA";9
"291490 ITACARE";1
"291520 ITAGIBA";5
"291550 ITAJUIPE";7
"291560 ITAMARAJU";7
"291620 ITAPE";12
"291630 ITAPEBI";1
"291640 ITAPETINGA";2
"291650 ITAPICURU";2
"291660 ITAPITANGA";1
"291690 ITIRUCU";5
"291700 ITIUBA";1
"291730 ITUBERA";2
"291733 IUIU";2
"291740 JACARACI";2
"291750 JACOBINA";19
"291760 JAGUAQUARA";5
"291770 JAGUARARI";5
"291790 JANDAIRA";4
"291800 JEQUIE";10
"291810 JEREMOABO";1
"291820 JIQUIRICA";1
"291840 JUAZEIRO";53
"291850 JUSSARA";1
"291860 JUSSIAPE";2
"291880 LAJE";4
"291890 LAJEDAO";5
"291920 LAURO DE FREITAS";8
"291950 LIVRAMENTO DE NOSSA SENHORA";10
"291955 LUIS EDUARDO MAGALHAES";6
"291970 MACARANI";3
"291980 MACAUBAS";5
"291992 MADRE DE DEUS";2
"292020 MALHADA";1
"292050 MARACAS";5
"292060 MARAGOGIPE";5
"292070 MARAU";1
"292080 MARCIONILIO SOUZA";3
"292090 MASCOTE";3
"292100 MATA DE SAO JOAO";2
"292105 MATINA";11
"292120 MIGUEL CALMON";2
"292130 MILAGRES";8
"292140 MIRANGABA";3
"292150 MONTE SANTO";14
"292170 MORRO DO CHAPEU";1
"292180 MORTUGABA";2
