Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"290010 ABAIRA";2
"290020 ABARE";7
"290030 ACAJUTIBA";1
"290040 AGUA FRIA";1
"290050 ERICO CARDOSO";1
"290080 ALCOBACA";5
"290100 AMARGOSA";1
"290110 AMELIA RODRIGUES";6
"290130 ANDARAI";1
"290135 ANDORINHA";1
"290140 ANGICAL";1
"290180 ANTONIO GONCALVES";1
"290200 ARACATU";1
"290210 ARACI";9
"290220 ARAMARI";8
"290240 AURELINO LEAL";17
"290260 BAIXA GRANDE";2
"290270 BARRA";2
"290280 BARRA DA ESTIVA";1
"290290 BARRA DO CHOCA";2
"290320 BARREIRAS";1
"290340 BELMONTE";1
"290350 BELO CAMPO";2
"290360 BIRITINGA";2
"290370 BOA NOVA";1
"290395 BOM JESUS DA SERRA";3
"290410 BOQUIRA";1
"290430 BREJOES";2
"290460 BRUMADO";7
"290470 BUERAREMA";18
"290490 CACHOEIRA";3
"290500 CACULE";3
"290510 CAEM";1
"290520 CAETITE";5
"290530 CAFARNAUM";2
"290540 CAIRU";12
"290550 CALDEIRAO GRANDE";1
"290560 CAMACAN";2
"290570 CAMACARI";12
"290580 CAMAMU";2
"290600 CAMPO FORMOSO";3
"290620 CANARANA";8
"290630 CANAVIEIRAS";4
"290650 CANDEIAS";1
"290680 CANSANCAO";1
"290689 CARAIBAS";2
"290730 CASTRO ALVES";1
"290750 CATU";6
"290780 CICERO DANTAS";4
"290790 CIPO";1
"290800 COARACI";6
"290810 COCOS";1
"290820 CONCEICAO DA FEIRA";9
"290840 CONCEICAO DO COITE";5
"290870 CONDEUBA";2
"290890 CORACAO DE MARIA";2
"290910 CORIBE";1
"290920 CORONEL JOAO SA";1
"290930 CORRENTINA";6
"290960 CRISOPOLIS";3
"290980 CRUZ DAS ALMAS";2
"291000 DARIO MEIRA";4
"291005 DIAS D'AVILA";1
"291020 DOM MACEDO COSTA";3
"291050 ENTRE RIOS";7
"291060 ESPLANADA";1
"291070 EUCLIDES DA CUNHA";8
"291072 EUNAPOLIS";5
"291075 FATIMA";3
"291080 FEIRA DE SANTANA";37
"291085 FILADELFIA";10
"291100 FLORESTA AZUL";4
"291130 GENTIO DO OURO";2
"291170 GUANAMBI";4
"291180 GUARATINGA";7
"291185 HELIOPOLIS";5
"291190 IACU";13
"291210 IBICARAI";2
"291220 IBICOARA";3
"291250 IBIPITANGA";1
"291270 IBIRAPITANGA";2
"291280 IBIRAPUA";1
"291300 IBITIARA";1
"291350 IGUAI";3
"291360 ILHEUS";24
"291370 INHAMBUPE";1
"291390 IPIAU";2
"291400 IPIRA";6
"291420 IRAJUBA";1
"291465 ITABELA";3
"291480 ITABUNA";2
"291490 ITACARE";6
"291520 ITAGIBA";3
"291550 ITAJUIPE";6
"291560 ITAMARAJU";21
"291580 ITAMBE";2
"291610 ITAPARICA";3
"291620 ITAPE";5
"291630 ITAPEBI";4
"291640 ITAPETINGA";1
"291650 ITAPICURU";5
"291690 ITIRUCU";3
"291700 ITIUBA";8
"291720 ITUACU";6
"291730 ITUBERA";4
"291750 JACOBINA";18
"291770 JAGUARARI";1
"291790 JANDAIRA";3
"291800 JEQUIE";10
"291810 JEREMOABO";1
"291820 JIQUIRICA";1
"291840 JUAZEIRO";30
"291850 JUSSARA";2
"291880 LAJE";1
"291890 LAJEDAO";3
"291905 LAJEDO DO TABOCAL";1
"291920 LAURO DE FREITAS";3
"291950 LIVRAMENTO DE NOSSA SENHORA";2
"291955 LUIS EDUARDO MAGALHAES";6
"291980 MACAUBAS";2
"292000 MAIQUINIQUE";1
"292020 MALHADA";2
"292050 MARACAS";1
"292060 MARAGOGIPE";2
"292080 MARCIONILIO SOUZA";1
"292100 MATA DE SAO JOAO";4
"292145 MIRANTE";1
"292150 MONTE SANTO";3
"292160 MORPARA";1
"292170 MORRO DO CHAPEU";1
"292180 MORTUGABA";1
"292190 MUCUGE";2
"292200 MUCURI";3
"292205 MULUNGU DO MORRO";2
"292210 MUNDO NOVO";3
"292220 MUNIZ FERREIRA";4
"292240 MUTUIPE";9
"292270 NOVA CANAA";3
"292290 NOVA SOURE";1
"292300 NOVA VICOSA";8
"292303 NOVO HORIZONTE";1
"292335 OUROLANDIA";3
"292360 PARAMIRIM";8
"292370 PARATINGA";1
"292380 PARIPIRANGA";3
"292390 PAU BRASIL";1
"292400 PAULO AFONSO";1
