Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"290020 ABARE";1
"290030 ACAJUTIBA";5
"290035 ADUSTINA";1
"290050 ERICO CARDOSO";2
"290070 ALAGOINHAS";2
"290080 ALCOBACA";1
"290090 ALMADINA";7
"290100 AMARGOSA";1
"290110 AMELIA RODRIGUES";3
"290120 ANAGE";1
"290135 ANDORINHA";2
"290140 ANGICAL";1
"290150 ANGUERA";6
"290160 ANTAS";2
"290180 ANTONIO GONCALVES";1
"290190 APORA";3
"290195 APUAREMA";1
"290200 ARACATU";3
"290210 ARACI";9
"290220 ARAMARI";4
"290240 AURELINO LEAL";11
"290260 BAIXA GRANDE";5
"290280 BARRA DA ESTIVA";16
"290290 BARRA DO CHOCA";6
"290320 BARREIRAS";1
"290323 BARRO ALTO";1
"290340 BELMONTE";2
"290350 BELO CAMPO";1
"290370 BOA NOVA";2
"290395 BOM JESUS DA SERRA";5
"290430 BREJOES";3
"290460 BRUMADO";17
"290470 BUERAREMA";65
"290480 CAATIBA";1
"290485 CABACEIRAS DO PARAGUACU";1
"290510 CAEM";1
"290520 CAETITE";7
"290530 CAFARNAUM";3
"290540 CAIRU";11
"290550 CALDEIRAO GRANDE";1
"290560 CAMACAN";17
"290570 CAMACARI";14
"290580 CAMAMU";2
"290590 CAMPO ALEGRE DE LOURDES";3
"290600 CAMPO FORMOSO";1
"290620 CANARANA";8
"290630 CANAVIEIRAS";2
"290650 CANDEIAS";7
"290670 CANDIDO SALES";1
"290680 CANSANCAO";1
"290682 CANUDOS";1
"290689 CARAIBAS";2
"290700 CARDEAL DA SILVA";4
"290710 CARINHANHA";3
"290720 CASA NOVA";1
"290730 CASTRO ALVES";1
"290750 CATU";14
"290770 CHORROCHO";2
"290780 CICERO DANTAS";4
"290800 COARACI";9
"290810 COCOS";2
"290820 CONCEICAO DA FEIRA";11
"290830 CONCEICAO DO ALMEIDA";4
"290840 CONCEICAO DO COITE";4
"290870 CONDEUBA";1
"290890 CORACAO DE MARIA";2
"290900 CORDEIROS";2
"290910 CORIBE";6
"290920 CORONEL JOAO SA";3
"290930 CORRENTINA";7
"290980 CRUZ DAS ALMAS";4
"291000 DARIO MEIRA";8
"291005 DIAS D'AVILA";3
"291010 DOM BASILIO";8
"291020 DOM MACEDO COSTA";1
"291040 ENCRUZILHADA";11
"291050 ENTRE RIOS";8
"291060 ESPLANADA";6
"291070 EUCLIDES DA CUNHA";7
"291072 EUNAPOLIS";10
"291075 FATIMA";3
"291077 FEIRA DA MATA";1
"291080 FEIRA DE SANTANA";76
"291085 FILADELFIA";3
"291100 FLORESTA AZUL";6
"291120 GANDU";5
"291130 GENTIO DO OURO";4
"291170 GUANAMBI";10
"291180 GUARATINGA";3
"291185 HELIOPOLIS";15
"291190 IACU";7
"291200 IBIASSUCE";1
"291210 IBICARAI";1
"291220 IBICOARA";5
"291250 IBIPITANGA";1
"291270 IBIRAPITANGA";3
"291280 IBIRAPUA";8
"291340 IGAPORA";2
"291345 IGRAPIUNA";1
"291350 IGUAI";4
"291360 ILHEUS";28
"291370 INHAMBUPE";2
"291390 IPIAU";11
"291400 IPIRA";6
"291420 IRAJUBA";2
"291450 IRARA";5
"291465 ITABELA";5
"291470 ITABERABA";8
"291480 ITABUNA";3
"291490 ITACARE";6
"291520 ITAGIBA";1
