Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"290010 ABAIRA";1
"290020 ABARE";2
"290030 ACAJUTIBA";2
"290035 ADUSTINA";3
"290040 AGUA FRIA";3
"290050 ERICO CARDOSO";21
"290070 ALAGOINHAS";8
"290080 ALCOBACA";8
"290100 AMARGOSA";5
"290110 AMELIA RODRIGUES";10
"290120 ANAGE";1
"290135 ANDORINHA";1
"290150 ANGUERA";7
"290160 ANTAS";7
"290190 APORA";1
"290200 ARACATU";3
"290205 ARACAS";1
"290210 ARACI";12
"290220 ARAMARI";3
"290240 AURELINO LEAL";9
"290260 BAIXA GRANDE";1
"290270 BARRA";2
"290280 BARRA DA ESTIVA";3
"290290 BARRA DO CHOCA";73
"290310 BARRA DO ROCHA";4
"290320 BARREIRAS";2
"290323 BARRO ALTO";1
"290327 BARROCAS";2
"290340 BELMONTE";1
"290350 BELO CAMPO";7
"290370 BOA NOVA";1
"290390 BOM JESUS DA LAPA";3
"290395 BOM JESUS DA SERRA";2
"290410 BOQUIRA";2
"290450 BROTAS DE MACAUBAS";1
"290460 BRUMADO";31
"290470 BUERAREMA";32
"290480 CAATIBA";2
"290485 CABACEIRAS DO PARAGUACU";2
"290510 CAEM";14
"290515 CAETANOS";1
"290520 CAETITE";2
"290530 CAFARNAUM";3
"290540 CAIRU";18
"290550 CALDEIRAO GRANDE";3
"290560 CAMACAN";11
"290570 CAMACARI";15
"290580 CAMAMU";2
"290590 CAMPO ALEGRE DE LOURDES";4
"290600 CAMPO FORMOSO";9
"290610 CANAPOLIS";3
"290620 CANARANA";11
"290630 CANAVIEIRAS";6
"290650 CANDEIAS";4
"290670 CANDIDO SALES";3
"290687 CAPIM GROSSO";1
"290689 CARAIBAS";8
"290700 CARDEAL DA SILVA";9
"290710 CARINHANHA";6
"290720 CASA NOVA";2
"290730 CASTRO ALVES";3
"290750 CATU";6
"290760 CENTRAL";1
"290790 CIPO";1
"290800 COARACI";10
"290820 CONCEICAO DA FEIRA";4
"290830 CONCEICAO DO ALMEIDA";2
"290870 CONDEUBA";1
"290890 CORACAO DE MARIA";2
"290900 CORDEIROS";1
"290910 CORIBE";3
"290920 CORONEL JOAO SA";2
"290930 CORRENTINA";3
"290960 CRISOPOLIS";1
"290980 CRUZ DAS ALMAS";7
"291000 DARIO MEIRA";2
"291005 DIAS D'AVILA";5
"291010 DOM BASILIO";2
"291020 DOM MACEDO COSTA";7
"291040 ENCRUZILHADA";9
"291050 ENTRE RIOS";17
"291060 ESPLANADA";6
"291070 EUCLIDES DA CUNHA";10
"291072 EUNAPOLIS";8
"291075 FATIMA";3
"291080 FEIRA DE SANTANA";44
"291085 FILADELFIA";8
"291090 FIRMINO ALVES";1
"291100 FLORESTA AZUL";2
"291120 GANDU";2
"291130 GENTIO DO OURO";1
"291160 GOVERNADOR MANGABEIRA";1
"291170 GUANAMBI";4
"291180 GUARATINGA";1
"291185 HELIOPOLIS";10
"291190 IACU";12
"291200 IBIASSUCE";2
"291210 IBICARAI";2
"291220 IBICOARA";5
"291270 IBIRAPITANGA";7
