Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Bahia
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"290010 ABAIRA";1
"290030 ACAJUTIBA";1
"290040 AGUA FRIA";6
"290050 ERICO CARDOSO";24
"290070 ALAGOINHAS";3
"290080 ALCOBACA";3
"290090 ALMADINA";3
"290100 AMARGOSA";3
"290110 AMELIA RODRIGUES";2
"290130 ANDARAI";2
"290140 ANGICAL";3
"290150 ANGUERA";7
"290160 ANTAS";1
"290180 ANTONIO GONCALVES";5
"290190 APORA";1
"290195 APUAREMA";1
"290200 ARACATU";2
"290205 ARACAS";4
"290210 ARACI";5
"290220 ARAMARI";6
"290240 AURELINO LEAL";9
"290260 BAIXA GRANDE";10
"290280 BARRA DA ESTIVA";12
"290290 BARRA DO CHOCA";19
"290310 BARRA DO ROCHA";2
"290327 BARROCAS";1
"290340 BELMONTE";1
"290350 BELO CAMPO";1
"290370 BOA NOVA";2
"290390 BOM JESUS DA LAPA";4
"290395 BOM JESUS DA SERRA";2
"290400 BONINAL";1
"290410 BOQUIRA";4
"290430 BREJOES";1
"290450 BROTAS DE MACAUBAS";9
"290460 BRUMADO";13
"290470 BUERAREMA";11
"290485 CABACEIRAS DO PARAGUACU";5
"290500 CACULE";2
"290510 CAEM";4
"290520 CAETITE";8
"290530 CAFARNAUM";4
"290540 CAIRU";9
"290550 CALDEIRAO GRANDE";1
"290560 CAMACAN";12
"290570 CAMACARI";6
"290580 CAMAMU";8
"290600 CAMPO FORMOSO";2
"290610 CANAPOLIS";2
"290620 CANARANA";5
"290630 CANAVIEIRAS";4
"290650 CANDEIAS";4
"290689 CARAIBAS";7
"290700 CARDEAL DA SILVA";4
"290710 CARINHANHA";1
"290720 CASA NOVA";3
"290730 CASTRO ALVES";1
"290750 CATU";8
"290780 CICERO DANTAS";4
"290800 COARACI";4
"290810 COCOS";2
"290820 CONCEICAO DA FEIRA";10
"290830 CONCEICAO DO ALMEIDA";3
"290840 CONCEICAO DO COITE";1
"290870 CONDEUBA";1
"290890 CORACAO DE MARIA";2
"290910 CORIBE";2
"290930 CORRENTINA";6
"290980 CRUZ DAS ALMAS";3
"291000 DARIO MEIRA";2
"291005 DIAS D'AVILA";1
"291010 DOM BASILIO";2
"291020 DOM MACEDO COSTA";4
"291040 ENCRUZILHADA";4
"291050 ENTRE RIOS";13
"291060 ESPLANADA";7
"291070 EUCLIDES DA CUNHA";6
"291072 EUNAPOLIS";8
"291075 FATIMA";1
"291080 FEIRA DE SANTANA";39
"291085 FILADELFIA";54
"291100 FLORESTA AZUL";3
"291120 GANDU";2
"291150 GONGOGI";1
"291160 GOVERNADOR MANGABEIRA";6
"291170 GUANAMBI";7
"291185 HELIOPOLIS";1
"291190 IACU";6
"291200 IBIASSUCE";2
"291210 IBICARAI";3
"291220 IBICOARA";2
"291240 IBIPEBA";3
"291270 IBIRAPITANGA";2
"291300 IBITIARA";3
"291340 IGAPORA";6
"291345 IGRAPIUNA";2
"291350 IGUAI";1
"291360 ILHEUS";36
"291370 INHAMBUPE";17
"291390 IPIAU";4
"291400 IPIRA";3
"291420 IRAJUBA";3
"291430 IRAMAIA";6
"291450 IRARA";3
"291460 IRECE";1
"291470 ITABERABA";8
"291480 ITABUNA";7
"291490 ITACARE";18
"291550 ITAJUIPE";41
"291560 ITAMARAJU";17
"291600 ITANHEM";1
"291610 ITAPARICA";1
"291620 ITAPE";4
"291630 ITAPEBI";4
"291640 ITAPETINGA";2
"291650 ITAPICURU";2
"291660 ITAPITANGA";3
"291670 ITAQUARA";2
"291685 ITATIM";2
"291700 ITIUBA";1
"291710 ITORORO";3
"291720 ITUACU";1
"291730 ITUBERA";5
"291740 JACARACI";2
"291750 JACOBINA";10
"291760 JAGUAQUARA";5
"291770 JAGUARARI";4
"291790 JANDAIRA";1
"291800 JEQUIE";28
"291810 JEREMOABO";12
"291830 JITAUNA";1
"291840 JUAZEIRO";36
"291850 JUSSARA";5
"291860 JUSSIAPE";2
"291870 LAFAIETE COUTINHO";1
"291875 LAGOA REAL";1
"291880 LAJE";2
"291890 LAJEDAO";1
"291920 LAURO DE FREITAS";3
"291930 LENCOIS";3
"291950 LIVRAMENTO DE NOSSA SENHORA";14
"291955 LUIS EDUARDO MAGALHAES";10
"291970 MACARANI";5
"291980 MACAUBAS";3
"291995 MAETINGA";1
"292010 MAIRI";2
"292050 MARACAS";7
"292070 MARAU";3
"292080 MARCIONILIO SOUZA";3
"292100 MATA DE SAO JOAO";2
"292105 MATINA";1
"292120 MIGUEL CALMON";7
"292130 MILAGRES";1
"292140 MIRANGABA";14
"292150 MONTE SANTO";2
"292160 MORPARA";2
"292170 MORRO DO CHAPEU";8
"292180 MORTUGABA";1
"292190 MUCUGE";5
"292200 MUCURI";10
"292220 MUNIZ FERREIRA";1
"292230 MURITIBA";6
"292240 MUTUIPE";10
"292250 NAZARE";2
"292260 NILO PECANHA";10
"292265 NORDESTINA";2
"292270 NOVA CANAA";2
"292275 NOVA IBIA";1
"292285 NOVA REDENCAO";1
"292290 NOVA SOURE";5
"292300 NOVA VICOSA";4
"292305 NOVO TRIUNFO";34
"292335 OUROLANDIA";15
"292350 PALMEIRAS";1
"292360 PARAMIRIM";12
"292370 PARATINGA";4
"292380 PARIPIRANGA";7
"292390 PAU BRASIL";2
"292400 PAULO AFONSO";6
"292405 PE DE SERRA";7
"292460 PINDOBACU";11
"292465 PINTADAS";1
"292480 PIRITIBA";6
"292490 PLANALTINO";1
"292510 POCOES";10
"292520 POJUCA";14
"292530 PORTO SEGURO";15
"292540 POTIRAGUA";5
"292560 PRESIDENTE DUTRA";2
"292575 PRESIDENTE TANCREDO NEVES";4
"292580 QUEIMADAS";2
