Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"230020 ACARAU";50
"230070 ALTO SANTO";1
"230100 AQUIRAZ";2
"230140 ARATUBA";3
"230205 BARROQUINHA";2
"230220 BEBERIBE";2
"230230 BELA CRUZ";5
"230250 BREJO SANTO";2
"230260 CAMOCIM";6
"230310 CARIRE";1
"230320 CARIRIACU";1
"230380 CEDRO";3
"230393 CHORO";2
"230395 CHOROZINHO";1
"230400 COREAU";1
"230410 CRATEUS";9
"230420 CRATO";5
"230423 CROATA";18
"230440 FORTALEZA";136
"230465 GRACA";1
"230470 GRANJA";2
"230490 GROAIRAS";1
"230520 HIDROLANDIA";1
"230523 HORIZONTE";7
"230530 IBIAPINA";1
"230535 ICAPUI";1
"230540 ICO";1
"230550 IGUATU";1
"230560 INDEPENDENCIA";1
"230580 IPU";17
"230590 IPUEIRAS";5
"230610 IRAUCUBA";1
"230620 ITAICABA";4
"230625 ITAITINGA";3
"230730 JUAZEIRO DO NORTE";11
"230760 LIMOEIRO DO NORTE";32
"230763 MADALENA";1
"230765 MARACANAU";1
"230780 MARCO";73
"230830 MILAGRES";2
"230870 MORADA NOVA";2
"230950 OROS";3
"230960 PACAJUS";1
"230970 PACATUBA";9
"230980 PACOTI";1
"231000 PALHANO";3
"231010 PALMACIA";2
"231030 PARAMBU";18
"231050 PEDRA BRANCA";8
"231080 PEREIRO";5
"231090 PIQUET CARNEIRO";85
"231126 QUITERIANOPOLIS";5
"231135 QUIXELO";1
"231180 RUSSAS";2
"231200 SANTANA DO ACARAU";1
"231210 SANTANA DO CARIRI";2
"231230 SAO BENEDITO";8
"231240 SAO GONCALO DO AMARANTE";4
"231290 SOBRAL";19
"231340 TIANGUA";4
"231360 UBAJARA";22
"231380 URUBURETAMA";3
"231390 URUOCA";1
"231395 VARJOTA";2
"Total";628
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
