Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Out/2010
"Município";"Hiper_c/_Diabete"
"230020 ACARAU";2
"230050 ALCANTARAS";1
"230070 ALTO SANTO";4
"230110 ARACATI";5
"230130 ARARIPE";2
"230140 ARATUBA";4
"230160 ASSARE";3
"230200 BARRO";27
"230205 BARROQUINHA";2
"230230 BELA CRUZ";12
"230250 BREJO SANTO";1
"230260 CAMOCIM";6
"230270 CAMPOS SALES";1
"230310 CARIRE";3
"230360 CATARINA";16
"230380 CEDRO";3
"230393 CHORO";4
"230395 CHOROZINHO";4
"230400 COREAU";3
"230410 CRATEUS";10
"230420 CRATO";7
"230440 FORTALEZA";315
"230465 GRACA";2
"230470 GRANJA";3
"230500 GUARACIABA DO NORTE";1
"230520 HIDROLANDIA";2
"230540 ICO";4
"230550 IGUATU";7
"230560 INDEPENDENCIA";2
"230590 IPUEIRAS";3
"230610 IRAUCUBA";1
"230650 ITAPIUNA";11
"230690 JAGUARIBE";29
"230730 JUAZEIRO DO NORTE";1
"230763 MADALENA";5
"230765 MARACANAU";24
"230780 MARCO";15
"230830 MILAGRES";3
"230870 MORADA NOVA";11
"230880 MORAUJO";1
"230950 OROS";8
"230970 PACATUBA";1
"231030 PARAMBU";16
"231040 PARAMOTI";2
"231090 PIQUET CARNEIRO";2
"231110 PORTEIRAS";4
"231170 RERIUTABA";5
"231180 RUSSAS";6
"231195 SALITRE";3
"231230 SAO BENEDITO";8
"231240 SAO GONCALO DO AMARANTE";5
"231290 SOBRAL";39
"231320 TAMBORIL";1
"231360 UBAJARA";2
"231380 URUBURETAMA";1
"231390 URUOCA";5
"231395 VARJOTA";13
"Total";681
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
