Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Nov/2010
"Município";"Hiper_c/_Diabete"
"230040 AIUABA";8
"230100 AQUIRAZ";1
"230110 ARACATI";1
"230140 ARATUBA";6
"230150 ARNEIROZ";1
"230160 ASSARE";2
"230200 BARRO";19
"230230 BELA CRUZ";1
"230250 BREJO SANTO";3
"230260 CAMOCIM";11
"230270 CAMPOS SALES";2
"230290 CAPISTRANO";1
"230310 CARIRE";5
"230340 CARNAUBAL";2
"230360 CATARINA";8
"230380 CEDRO";2
"230395 CHOROZINHO";2
"230410 CRATEUS";16
"230420 CRATO";8
"230423 CROATA";1
"230440 FORTALEZA";333
"230470 GRANJA";12
"230490 GROAIRAS";2
"230500 GUARACIABA DO NORTE";1
"230523 HORIZONTE";10
"230530 IBIAPINA";1
"230540 ICO";2
"230550 IGUATU";5
"230560 INDEPENDENCIA";1
"230590 IPUEIRAS";32
"230610 IRAUCUBA";4
"230650 ITAPIUNA";1
"230690 JAGUARIBE";19
"230730 JUAZEIRO DO NORTE";4
"230763 MADALENA";12
"230765 MARACANAU";16
"230780 MARCO";2
"230830 MILAGRES";6
"230870 MORADA NOVA";2
"230950 OROS";3
"230970 PACATUBA";6
"230980 PACOTI";21
"231030 PARAMBU";5
"231085 PINDORETAMA";1
"231090 PIQUET CARNEIRO";1
"231110 PORTEIRAS";1
"231126 QUITERIANOPOLIS";3
"231170 RERIUTABA";4
"231180 RUSSAS";6
"231195 SALITRE";1
"231230 SAO BENEDITO";11
"231240 SAO GONCALO DO AMARANTE";6
"231290 SOBRAL";19
"231360 UBAJARA";8
"231395 VARJOTA";21
"231410 VICOSA DO CEARA";1
"Total";683
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
