Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Dez/2010
"Município";"Hiper_c/_Diabete"
"230040 AIUABA";8
"230140 ARATUBA";1
"230150 ARNEIROZ";7
"230200 BARRO";5
"230260 CAMOCIM";15
"230270 CAMPOS SALES";1
"230310 CARIRE";3
"230320 CARIRIACU";1
"230340 CARNAUBAL";1
"230360 CATARINA";7
"230393 CHORO";4
"230400 COREAU";1
"230410 CRATEUS";4
"230420 CRATO";2
"230423 CROATA";1
"230440 FORTALEZA";245
"230470 GRANJA";9
"230490 GROAIRAS";2
"230520 HIDROLANDIA";1
"230523 HORIZONTE";14
"230535 ICAPUI";1
"230540 ICO";1
"230550 IGUATU";1
"230560 INDEPENDENCIA";2
"230590 IPUEIRAS";8
"230620 ITAICABA";1
"230660 ITATIRA";2
"230690 JAGUARIBE";14
"230730 JUAZEIRO DO NORTE";3
"230763 MADALENA";1
"230765 MARACANAU";4
"230780 MARCO";1
"230830 MILAGRES";5
"230870 MORADA NOVA";15
"230880 MORAUJO";1
"230970 PACATUBA";1
"230980 PACOTI";10
"231030 PARAMBU";5
"231090 PIQUET CARNEIRO";2
"231110 PORTEIRAS";1
"231126 QUITERIANOPOLIS";1
"231170 RERIUTABA";2
"231180 RUSSAS";2
"231195 SALITRE";1
"231230 SAO BENEDITO";2
"231240 SAO GONCALO DO AMARANTE";8
"231290 SOBRAL";19
"231360 UBAJARA";2
"231380 URUBURETAMA";11
"231395 VARJOTA";2
"Total";461
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
