Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Fev/2010
"Município";"Hiper_c/_Diabete"
"230070 ALTO SANTO";1
"230100 AQUIRAZ";1
"230110 ARACATI";1
"230230 BELA CRUZ";1
"230250 BREJO SANTO";7
"230260 CAMOCIM";4
"230270 CAMPOS SALES";4
"230320 CARIRIACU";1
"230340 CARNAUBAL";1
"230360 CATARINA";5
"230380 CEDRO";1
"230400 COREAU";4
"230410 CRATEUS";2
"230420 CRATO";9
"230423 CROATA";21
"230440 FORTALEZA";295
"230465 GRACA";1
"230490 GROAIRAS";1
"230500 GUARACIABA DO NORTE";11
"230520 HIDROLANDIA";3
"230523 HORIZONTE";35
"230530 IBIAPINA";4
"230540 ICO";1
"230550 IGUATU";1
"230560 INDEPENDENCIA";2
"230580 IPU";1
"230590 IPUEIRAS";3
"230660 ITATIRA";3
"230690 JAGUARIBE";1
"230730 JUAZEIRO DO NORTE";12
"230760 LIMOEIRO DO NORTE";4
"230763 MADALENA";1
"230780 MARCO";9
"230830 MILAGRES";1
"230880 MORAUJO";1
"230950 OROS";2
"230960 PACAJUS";1
"230970 PACATUBA";4
"231010 PALMACIA";8
"231030 PARAMBU";13
"231040 PARAMOTI";2
"231050 PEDRA BRANCA";3
"231085 PINDORETAMA";2
"231090 PIQUET CARNEIRO";20
"231110 PORTEIRAS";4
"231135 QUIXELO";1
"231170 RERIUTABA";2
"231180 RUSSAS";3
"231195 SALITRE";2
"231200 SANTANA DO ACARAU";3
"231210 SANTANA DO CARIRI";5
"231230 SAO BENEDITO";3
"231270 SENADOR POMPEU";1
"231290 SOBRAL";9
"231380 URUBURETAMA";5
"231390 URUOCA";2
"231395 VARJOTA";1
"231410 VICOSA DO CEARA";7
"Total";556
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
