Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Mar/2010
"Município";"Hiper_c/_Diabete"
"230070 ALTO SANTO";7
"230100 AQUIRAZ";2
"230110 ARACATI";1
"230130 ARARIPE";1
"230205 BARROQUINHA";10
"230250 BREJO SANTO";3
"230260 CAMOCIM";5
"230270 CAMPOS SALES";16
"230280 CANINDE";1
"230290 CAPISTRANO";16
"230310 CARIRE";1
"230340 CARNAUBAL";3
"230360 CATARINA";5
"230380 CEDRO";2
"230393 CHORO";1
"230395 CHOROZINHO";1
"230400 COREAU";2
"230410 CRATEUS";5
"230420 CRATO";11
"230423 CROATA";2
"230440 FORTALEZA";405
"230465 GRACA";2
"230490 GROAIRAS";2
"230500 GUARACIABA DO NORTE";6
"230520 HIDROLANDIA";2
"230523 HORIZONTE";5
"230530 IBIAPINA";3
"230540 ICO";2
"230550 IGUATU";1
"230560 INDEPENDENCIA";1
"230580 IPU";30
"230590 IPUEIRAS";8
"230610 IRAUCUBA";4
"230650 ITAPIUNA";1
"230660 ITATIRA";1
"230690 JAGUARIBE";3
"230730 JUAZEIRO DO NORTE";15
"230750 LAVRAS DA MANGABEIRA";4
"230760 LIMOEIRO DO NORTE";6
"230763 MADALENA";7
"230765 MARACANAU";5
"230780 MARCO";3
"230830 MILAGRES";1
"230870 MORADA NOVA";2
"230945 OCARA";2
"230950 OROS";4
"230970 PACATUBA";4
"231030 PARAMBU";10
"231040 PARAMOTI";1
"231080 PEREIRO";1
"231085 PINDORETAMA";2
"231110 PORTEIRAS";9
"231135 QUIXELO";1
"231180 RUSSAS";4
"231195 SALITRE";5
"231210 SANTANA DO CARIRI";2
"231230 SAO BENEDITO";26
"231240 SAO GONCALO DO AMARANTE";2
"231290 SOBRAL";25
"231325 TARRAFAS";1
"231340 TIANGUA";2
"231380 URUBURETAMA";1
"231390 URUOCA";5
"231395 VARJOTA";4
"231410 VICOSA DO CEARA";12
"Total";737
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
