Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Abr/2010
"Município";"Hiper_c/_Diabete"
"230100 AQUIRAZ";4
"230110 ARACATI";2
"230140 ARATUBA";7
"230160 ASSARE";1
"230205 BARROQUINHA";5
"230220 BEBERIBE";1
"230250 BREJO SANTO";2
"230260 CAMOCIM";6
"230270 CAMPOS SALES";8
"230290 CAPISTRANO";17
"230310 CARIRE";1
"230360 CATARINA";2
"230400 COREAU";1
"230410 CRATEUS";11
"230420 CRATO";2
"230423 CROATA";3
"230440 FORTALEZA";272
"230465 GRACA";1
"230470 GRANJA";1
"230490 GROAIRAS";2
"230520 HIDROLANDIA";2
"230523 HORIZONTE";1
"230530 IBIAPINA";5
"230540 ICO";4
"230550 IGUATU";13
"230560 INDEPENDENCIA";11
"230580 IPU";2
"230590 IPUEIRAS";6
"230610 IRAUCUBA";2
"230660 ITATIRA";2
"230730 JUAZEIRO DO NORTE";21
"230765 MARACANAU";1
"230780 MARCO";1
"230810 MAURITI";2
"230870 MORADA NOVA";2
"230950 OROS";3
"230970 PACATUBA";6
"231010 PALMACIA";1
"231030 PARAMBU";5
"231050 PEDRA BRANCA";5
"231080 PEREIRO";3
"231085 PINDORETAMA";13
"231090 PIQUET CARNEIRO";2
"231110 PORTEIRAS";1
"231170 RERIUTABA";1
"231180 RUSSAS";2
"231195 SALITRE";5
"231210 SANTANA DO CARIRI";2
"231230 SAO BENEDITO";8
"231240 SAO GONCALO DO AMARANTE";3
"231290 SOBRAL";19
"231325 TARRAFAS";2
"231340 TIANGUA";20
"231360 UBAJARA";1
"231380 URUBURETAMA";6
"231390 URUOCA";1
"Total";533
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
