Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Mai/2010
"Município";"Hiper_c/_Diabete"
"230020 ACARAU";1
"230070 ALTO SANTO";4
"230110 ARACATI";1
"230140 ARATUBA";2
"230200 BARRO";1
"230205 BARROQUINHA";8
"230250 BREJO SANTO";5
"230260 CAMOCIM";1
"230270 CAMPOS SALES";7
"230280 CANINDE";1
"230290 CAPISTRANO";10
"230310 CARIRE";2
"230380 CEDRO";2
"230395 CHOROZINHO";1
"230400 COREAU";5
"230410 CRATEUS";15
"230420 CRATO";6
"230423 CROATA";1
"230440 FORTALEZA";239
"230465 GRACA";1
"230490 GROAIRAS";1
"230500 GUARACIABA DO NORTE";1
"230523 HORIZONTE";1
"230530 IBIAPINA";3
"230540 ICO";1
"230550 IGUATU";3
"230560 INDEPENDENCIA";2
"230590 IPUEIRAS";5
"230610 IRAUCUBA";6
"230650 ITAPIUNA";2
"230660 ITATIRA";2
"230690 JAGUARIBE";1
"230730 JUAZEIRO DO NORTE";12
"230760 LIMOEIRO DO NORTE";1
"230765 MARACANAU";3
"230830 MILAGRES";15
"230870 MORADA NOVA";11
"230950 OROS";5
"230960 PACAJUS";2
"230970 PACATUBA";3
"231010 PALMACIA";1
"231030 PARAMBU";7
"231050 PEDRA BRANCA";2
"231080 PEREIRO";1
"231085 PINDORETAMA";2
"231090 PIQUET CARNEIRO";4
"231110 PORTEIRAS";1
"231170 RERIUTABA";1
"231180 RUSSAS";1
"231195 SALITRE";1
"231210 SANTANA DO CARIRI";2
"231230 SAO BENEDITO";4
"231240 SAO GONCALO DO AMARANTE";6
"231270 SENADOR POMPEU";1
"231290 SOBRAL";24
"231340 TIANGUA";3
"231355 TURURU";1
"231360 UBAJARA";13
"231390 URUOCA";27
"231395 VARJOTA";2
"231410 VICOSA DO CEARA";2
"Total";499
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
