Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Jun/2010
"Município";"Hiper_c/_Diabete"
"230015 ACARAPE";1
"230020 ACARAU";2
"230100 AQUIRAZ";1
"230110 ARACATI";3
"230130 ARARIPE";6
"230140 ARATUBA";4
"230160 ASSARE";1
"230205 BARROQUINHA";1
"230220 BEBERIBE";1
"230250 BREJO SANTO";2
"230270 CAMPOS SALES";13
"230290 CAPISTRANO";7
"230310 CARIRE";3
"230340 CARNAUBAL";2
"230360 CATARINA";3
"230380 CEDRO";4
"230393 CHORO";1
"230400 COREAU";7
"230410 CRATEUS";7
"230420 CRATO";5
"230440 FORTALEZA";179
"230465 GRACA";1
"230490 GROAIRAS";2
"230500 GUARACIABA DO NORTE";6
"230520 HIDROLANDIA";9
"230523 HORIZONTE";3
"230530 IBIAPINA";2
"230540 ICO";2
"230550 IGUATU";1
"230560 INDEPENDENCIA";1
"230590 IPUEIRAS";2
"230600 IRACEMA";1
"230610 IRAUCUBA";1
"230620 ITAICABA";2
"230650 ITAPIUNA";6
"230660 ITATIRA";1
"230690 JAGUARIBE";12
"230730 JUAZEIRO DO NORTE";2
"230765 MARACANAU";73
"230780 MARCO";9
"230830 MILAGRES";6
"230870 MORADA NOVA";25
"230880 MORAUJO";2
"230945 OCARA";2
"230950 OROS";2
"230980 PACOTI";1
"231010 PALMACIA";2
"231030 PARAMBU";6
"231085 PINDORETAMA";1
"231090 PIQUET CARNEIRO";4
"231110 PORTEIRAS";17
"231195 SALITRE";3
"231230 SAO BENEDITO";2
"231240 SAO GONCALO DO AMARANTE";5
"231290 SOBRAL";33
"231340 TIANGUA";2
"231360 UBAJARA";3
"231380 URUBURETAMA";1
"231390 URUOCA";2
"231395 VARJOTA";5
"Total";513
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
