Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Jul/2010
"Município";"Hiper_c/_Diabete"
"230020 ACARAU";1
"230070 ALTO SANTO";4
"230100 AQUIRAZ";2
"230110 ARACATI";2
"230140 ARATUBA";1
"230160 ASSARE";1
"230250 BREJO SANTO";2
"230260 CAMOCIM";6
"230270 CAMPOS SALES";7
"230280 CANINDE";1
"230290 CAPISTRANO";5
"230300 CARIDADE";1
"230310 CARIRE";1
"230340 CARNAUBAL";2
"230360 CATARINA";8
"230380 CEDRO";3
"230400 COREAU";2
"230410 CRATEUS";5
"230420 CRATO";4
"230440 FORTALEZA";214
"230470 GRANJA";13
"230500 GUARACIABA DO NORTE";3
"230520 HIDROLANDIA";2
"230530 IBIAPINA";12
"230550 IGUATU";1
"230590 IPUEIRAS";2
"230610 IRAUCUBA";2
"230620 ITAICABA";2
"230650 ITAPIUNA";13
"230660 ITATIRA";3
"230690 JAGUARIBE";13
"230730 JUAZEIRO DO NORTE";1
"230765 MARACANAU";60
"230780 MARCO";1
"230830 MILAGRES";19
"230870 MORADA NOVA";11
"230900 MUCAMBO";1
"230950 OROS";4
"230970 PACATUBA";6
"230980 PACOTI";1
"231010 PALMACIA";3
"231050 PEDRA BRANCA";2
"231110 PORTEIRAS";8
"231180 RUSSAS";7
"231195 SALITRE";6
"231210 SANTANA DO CARIRI";2
"231230 SAO BENEDITO";11
"231240 SAO GONCALO DO AMARANTE";2
"231290 SOBRAL";28
"231340 TIANGUA";2
"231360 UBAJARA";4
"231395 VARJOTA";13
"Total";530
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
