Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Ago/2010
"Município";"Hiper_c/_Diabete"
"230020 ACARAU";7
"230050 ALCANTARAS";1
"230100 AQUIRAZ";5
"230110 ARACATI";2
"230130 ARARIPE";4
"230140 ARATUBA";4
"230160 ASSARE";1
"230200 BARRO";23
"230205 BARROQUINHA";1
"230250 BREJO SANTO";1
"230260 CAMOCIM";17
"230270 CAMPOS SALES";3
"230290 CAPISTRANO";7
"230310 CARIRE";3
"230320 CARIRIACU";1
"230360 CATARINA";2
"230380 CEDRO";3
"230400 COREAU";5
"230410 CRATEUS";3
"230420 CRATO";4
"230423 CROATA";2
"230440 FORTALEZA";245
"230470 GRANJA";2
"230500 GUARACIABA DO NORTE";1
"230520 HIDROLANDIA";4
"230530 IBIAPINA";17
"230540 ICO";9
"230550 IGUATU";2
"230590 IPUEIRAS";3
"230610 IRAUCUBA";1
"230650 ITAPIUNA";20
"230660 ITATIRA";2
"230690 JAGUARIBE";10
"230725 JIJOCA DE JERICOACOARA";1
"230730 JUAZEIRO DO NORTE";6
"230765 MARACANAU";37
"230780 MARCO";1
"230810 MAURITI";1
"230830 MILAGRES";9
"230870 MORADA NOVA";4
"230950 OROS";3
"230960 PACAJUS";1
"230970 PACATUBA";4
"231010 PALMACIA";7
"231030 PARAMBU";1
"231085 PINDORETAMA";1
"231090 PIQUET CARNEIRO";5
"231110 PORTEIRAS";7
"231135 QUIXELO";1
"231170 RERIUTABA";4
"231180 RUSSAS";2
"231195 SALITRE";1
"231200 SANTANA DO ACARAU";1
"231210 SANTANA DO CARIRI";6
"231230 SAO BENEDITO";7
"231240 SAO GONCALO DO AMARANTE";5
"231290 SOBRAL";28
"231340 TIANGUA";1
"231355 TURURU";1
"231360 UBAJARA";2
"231395 VARJOTA";13
"231410 VICOSA DO CEARA";1
"Total";576
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
