Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Ceará
Hiper c/ Diabete por Município
Período:Set/2010
"Município";"Hiper_c/_Diabete"
"230020 ACARAU";2
"230070 ALTO SANTO";4
"230100 AQUIRAZ";4
"230110 ARACATI";10
"230130 ARARIPE";2
"230140 ARATUBA";7
"230160 ASSARE";1
"230200 BARRO";18
"230205 BARROQUINHA";5
"230220 BEBERIBE";1
"230260 CAMOCIM";8
"230270 CAMPOS SALES";1
"230280 CANINDE";2
"230310 CARIRE";3
"230360 CATARINA";22
"230393 CHORO";15
"230395 CHOROZINHO";2
"230400 COREAU";2
"230410 CRATEUS";11
"230420 CRATO";3
"230423 CROATA";10
"230440 FORTALEZA";268
"230465 GRACA";2
"230470 GRANJA";2
"230490 GROAIRAS";4
"230520 HIDROLANDIA";3
"230523 HORIZONTE";2
"230530 IBIAPINA";3
"230540 ICO";7
"230550 IGUATU";1
"230590 IPUEIRAS";1
"230610 IRAUCUBA";1
"230650 ITAPIUNA";2
"230660 ITATIRA";2
"230690 JAGUARIBE";18
"230765 MARACANAU";21
"230780 MARCO";8
"230830 MILAGRES";9
"230870 MORADA NOVA";16
"230880 MORAUJO";4
"230900 MUCAMBO";2
"230950 OROS";6
"230970 PACATUBA";2
"231010 PALMACIA";2
"231030 PARAMBU";7
"231040 PARAMOTI";1
"231085 PINDORETAMA";3
"231090 PIQUET CARNEIRO";8
"231110 PORTEIRAS";4
"231135 QUIXELO";2
"231170 RERIUTABA";5
"231180 RUSSAS";2
"231195 SALITRE";2
"231210 SANTANA DO CARIRI";2
"231230 SAO BENEDITO";3
"231240 SAO GONCALO DO AMARANTE";5
"231290 SOBRAL";50
"231340 TIANGUA";1
"231355 TURURU";1
"231360 UBAJARA";2
"231390 URUOCA";1
"231395 VARJOTA";7
"231410 VICOSA DO CEARA";3
"Total";628
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
