Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Espírito Santo
Hiper c/ Diabete por Município
Período:Jan/2010
"Município";"Hiper_c/_Diabete"
"320010 AFONSO CLAUDIO";3
"320013 AGUIA BRANCA";2
"320060 ARACRUZ";3
"320070 ATILIO VIVACQUA";1
"320080 BAIXO GUANDU";22
"320090 BARRA DE SAO FRANCISCO";1
"320115 BREJETUBA";1
"320120 CACHOEIRO DE ITAPEMIRIM";11
"320150 COLATINA";8
"320190 DOMINGOS MARTINS";4
"320240 GUARAPARI";16
"320245 IBATIBA";4
"320270 ITAGUACU";1
"320280 ITAPEMIRIM";5
"320310 JERONIMO MONTEIRO";5
"320320 LINHARES";24
"320332 MARATAIZES";12
"320334 MARECHAL FLORIANO";1
"320340 MIMOSO DO SUL";26
"320350 MONTANHA";10
"320360 MUCURICI";1
"320390 NOVA VENECIA";12
"320400 PANCAS";2
"320425 PONTO BELO";1
"320430 PRESIDENTE KENNEDY";10
"320455 SANTA MARIA DE JETIBA";5
"320460 SANTA TERESA";6
"320470 SAO GABRIEL DA PALHA";4
"320495 SAO ROQUE DO CANAA";4
"320500 SERRA";12
"320501 SOORETAMA";1
"320506 VENDA NOVA DO IMIGRANTE";1
"320510 VIANA";1
"320520 VILA VELHA";42
"320530 VITORIA";43
"Total";305
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
